User,Pesan,Saham,Jam,Tanggal,Status
Benhan,"Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. Ini blueprintnya sudah jelas dan eksekusi Right Issuenya sempurna. Sayang kalau terlewatkan. 
Di dalamnya ada North Star pula. Banyak boxes ticked!  ","ARTO,STAR",11:44:52 AM,Friday March 26 2021,Positif
Benhan,"Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekitar 16x. Sudah masuk kategori Bank Buku III.
Terus bakal right issue terus sampai equitynya capai 30T masuk Bank Buku IV. Perkiraan 2022 lah tercapai.","ARTO,BANK,MASA",11:40:54 AM,Friday March 26 2021,Positif
R,"haka bvic MG mulai masuk, AVG 177. masih harus di kerek naik ke 180-185",BVIC,11:33:11 AM,Friday March 26 2021,Positif
Benhan,Pas banget ya ANTM dikerek ke atas hari ini karena ada presscon battery holding. Begitulah cara market maker bekerja,ANTM,11:31:21 AM,Friday March 26 2021,Positif
Aho Lie,Klo cent sampai april kyknya prospektus keluar tp harga udsh diatas 300     ,CENT,11:30:27 AM,Friday March 26 2021,Positif
Novian Yudha 087,Antm TP selanjutnya 2800,ANTM,11:21:40 AM,Friday March 26 2021,Positif
Rolando,"Membalas : Suhu master Aho adalah spesialist CENT pak suhu master intel khong guan @Rovipr
sampai2 semua saham yg ijo dilihatnya ticker CENT  

peace ya, salam cuan",CENT,11:11:49 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Yang nyambung direply itu camp pak   
Kirain orgnya nanys kenaps Cent nsik    maklum efforia","CAMP,CENT",11:09:23 AM,Friday March 26 2021,Positif
Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Ya haka congrats udh cuan ya","ANTM,INCO,MCAS,TINS",11:06:50 AM,Friday March 26 2021,Positif
Efraim Arya,"Membalas : kenapa naik tinggi om? ada isu apa?
Dia itu dulu isunya mau ikut distribusi salah satu vaksin kalo gk salah, makanya naik kenceng",SATU,11:04:01 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : AK nyerok Cent
Prospek",CENT,11:00:10 AM,Friday March 26 2021,Positif
Johny,AK nyerok Cent,CENT,10:58:28 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Photo
Ini yg saham salah satu diprediksi pak HS akan nsik tinggi   ",SATU,10:58:07 AM,Friday March 26 2021,Positif
Yoga Dharmawan,"Membalas : @RuiAuxilia Mb klo BBYB itu cumdate nya kapan to...kq di rti ma stockbit beda
Di rti belom update kayaknya, cumdate bbyb uda tgl 24 kemaren",BBYB,10:52:19 AM,Friday March 26 2021,Positif
Aho Lie,"Mana suara Brms    
Membalas : banyak yg bahagia yah kalau antam naik
Ia byk yg nyangkut",BRMS,10:41:03 AM,Friday March 26 2021,Positif
Septio Hanifa,PKPK ara gak nih,PKPK,10:29:11 AM,Friday March 26 2021,Positif
muriz,Antm nyangkut 8% terbayar lunas dgn hati yg tenang..gak minus lagi....trmksh pak sopir,ANTM,10:28:02 AM,Friday March 26 2021,Positif
Deny Hermawan,ANTM :rocket:,ANTM,10:26:17 AM,Friday March 26 2021,Positif
Fadli,antm kalo bertahan di atas 2350 sesi satu strong,"ANTM,SATU",10:20:17 AM,Friday March 26 2021,Positif
Erich,harga nikel timah biasa aja..antm tins ijo tebel  ,TINS,10:19:28 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Naaah kalau bapak Aho ini spesialist CENT, mohon banyak banyak kasih masukan tentang CENT yaa
Target 300 hbs itu gby my love   
",CENT,10:11:55 AM,Friday March 26 2021,Positif
Ardiyan Bagas,MIKA masih bisa bikin higher high gak ya? Masih sangkut d 2900,MIKA,10:09:46 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : ARA kan CENT :rocket:
Udah 2x tik tok mas   ",CENT,10:05:25 AM,Friday March 26 2021,Positif
Ardiyan Bagas,ARA kan CENT :rocket:,CENT,10:04:34 AM,Friday March 26 2021,Positif
R,"bvic mantap. yok masuk, sblm ketnggalan",BVIC,10:02:21 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : bisa juga 6-7-8-9  
Tulisan suhu master Billy     agak mencurigakan kalau ada tulisan wiim nya spti orang kalau baru pertama kali ketemu cici guru @RuiAuxilia grogi salfok    agro aja agro ajaaa skrg 1055","AGRO,WIIM",10:01:20 AM,Friday March 26 2021,Positif
Virgaust,"Membalas : jgn disebut2    nanti rame, khusus orang sabar wkwkw
koh Billy muncul di komen WIIM ini udah menjadi selling point tertentu. nilai Plus  ",WIIM,9:52:47 AM,Friday March 26 2021,Positif
Kaanz ,CENT nya kek nya juga potensi HTF?,CENT,9:50:58 AM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : WIIM nya masih ada 
@wealth88 nih kak ada calon HTF lagi kalau tertarik    tp kalau mau entry saran saya ya memang nunggu hTFnya confirm dulu",WIIM,9:49:34 AM,Friday March 26 2021,Positif
R,ARA kan BVIC,BVIC,9:48:58 AM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : it's ok lah gak HTF juga. asal base nya kuat, apapun bisa terjadi kyk waktu itu IMAS gagal confirm pattern, tpi volume masih
Iya, ga HTF bukan berarti ga naik ... saya komen kak @wealth88 karena dari kemarin semangat sekali biar HTF di DMMX   ","DMMX,IMAS",9:46:30 AM,Friday March 26 2021,Positif
JK Vm,Haka WMUU,WMUU,9:32:53 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : Volumenya juga mesti besar bukannya pak ?
Nope, tudei masih masa konsolidasi volume harus rendah, senin baru meroket dengan volume besar, saya pasang buy 408 all in ga dapat  nih stress saya  ",MASA,9:28:22 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : pak, biarkan saja senyap  
Oh iya ya    woke deh agro aja ayok ayok agro skrg 1060 feeling saya hari ini agro closing di 1030 
1030-1134-1208-1290 siapa mau serokk 1060 1060 ayok ayok",AGRO,9:26:16 AM,Friday March 26 2021,Positif
Bu Nana,Same uda 450,SAME,9:15:32 AM,Friday March 26 2021,Positif
as s,antm dorong ihsg  ,ANTM,9:15:24 AM,Friday March 26 2021,Positif
Vivian,Mantoelll nih same,SAME,9:11:15 AM,Friday March 26 2021,Positif
Kirana L,"Membalas : Jd ingat film Capt Phillips :ship:
Kaya insight sahamnya bakal naik ya pak",FILM,8:57:27 AM,Friday March 26 2021,Positif
rigeladitya,"Membalas : Should be wise at the current condition of the market? I mean Mark meenermini just wrote a single notice that it may be only a s
cek lagi twitternya minervini bu... dia bilang dia stupid, sering CL tapi habis itu sahamnya terbang. sekelas minervini yang gain portonya sudah 57% YTD aja ngalamin kok  ",MARK,8:53:27 AM,Friday March 26 2021,Positif
Benhan,"Membalas : berita 2 hari lalu 
Ketika berita positif dikeluarkan untuk salah satu emiten, itu pertanda akumulasi sudah cukup dan insider siap TP. Ngundang retail buat beli",SATU,8:24:58 AM,Friday March 26 2021,Positif
Charles Prop,"Membalas : [BREAKING] BBRI memutuskan untuk membagikan Rp12 triliun atau sekitar 65% dari laba bersih tahun 2020. Dengan demikian, dividen
Di newsnya bukannya 160an ya?",BBRI,1:08:57 AM,Friday March 26 2021,Positif
rigeladitya,"INCO area demand, ada yang lagi ngumpul in banyak banget.
Ini adalah foto",INCO,10:48:22 PM,Monday March 29 2021,Positif
Melvin E. S.,"Membalas : Photo
Tentu ada alasan naik tinggi. Yg sy ingat inkp tkim brpt dan tpia naik multibagger krn fundamentalnya bagus. Lompatan laba ratusan persen didukung penjualan yg juga naik dst..","BRPT,INKP,TKIM,TPIA",9:54:45 PM,Monday March 29 2021,Positif
Sales ERAA,"Membalas : Sales eraa ini beneran hehe
ERAA road to 3000
semoga semesta mendukung  ",ERAA,9:15:08 PM,Monday March 29 2021,Positif
Kaanz ,"Seperti nya CENT jg potensi membentuk cup and handle juga pak guru Eko Bawono , jika pola SSP gagal minggu ini, kalo dilihat dari volume jg mendukung, bagaimana dengan pendapat pak guru  time frame 4h
Ini adalah foto","CENT,POLA",9:06:59 PM,Monday March 29 2021,Positif
ando,Hrum knp kuat sendiri ya?,HRUM,8:44:45 PM,Monday March 29 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI? Padahal pas sentimen bank mini terbang, may
Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret sampai RI itu MAYA sempet digoreng kencang lho ... dari 3000an k 7000... itu juga diterbangkan kak","BANK,MAYA",7:52:02 PM,Monday March 29 2021,Positif
Del,"Membalas : Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail
Good question, yg keluarin duit gede buat naikin harga dgn volum setinggi itu masih pada di dalem, suhu2 apa ada yg bs kasih pemcerahan?",GOOD,7:22:05 PM,Monday March 29 2021,Positif
Ikke,"takut ke 5.800 beneran gak sih tuh? kemrn udh gila2an, masa hr ini juga",MASA,7:15:26 PM,Monday March 29 2021,Positif
Fajar Oktavaria,"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Kalo diliat pas naiknya itu banyak yang ngomongin sih disini, mungkin iya ada yang nyangkut","BNBA,SINI",7:09:36 PM,Monday March 29 2021,Positif
Rendi Setiawan,Ikan sesi 2 ara   ,IKAN,2:50:54 PM,Monday March 29 2021,Positif
Liem Peter,"candle volume W2 Cent  lebih tinggi dari candle pertama, candle Volume W3 nya harus lebih tinggi ya untuk SSP nya??",CENT,2:36:58 PM,Monday March 29 2021,Positif
Septianto Francisco,ERAA jgn ketinggalan kereta :rocket::rocket:,ERAA,2:36:53 PM,Monday March 29 2021,Positif
den,"Membalas : Deviden BBCA Final: Rp 530 / lembar Adjustment: Dikurang deviden interim Rp 98 di 22 Desember 2020 Sisa: Rp 432 / lembar Cum d
wow naik 2x dr thn lalu ya",BBCA,2:18:37 PM,Monday March 29 2021,Positif
Chezy,"Deviden BBCA
Final: Rp 530 / lembar 
Adjustment: Dikurang deviden interim Rp 98 di 22 Desember 2020
Sisa: Rp 432 / lembar

Cum date: 5 April 2021
Ex Date: 6 April 2021
Rec Date: 7 April 2021
Payment Date: 28 April 2021",BBCA,2:17:29 PM,Monday March 29 2021,Positif
Puspita Wardani,"Membalas : CENT ke 250 aja lbh menarik
170 lg boleh tak  ",CENT,2:14:11 PM,Monday March 29 2021,Positif
WA,CENT ke 250 aja lbh menarik,CENT,2:13:12 PM,Monday March 29 2021,Positif
Aho Lie,"Membalas : CENT kira kira masih bisa naik ga ya
Semua bisa naik atau turun says yg didlm ngarepin naik sebaliknya ",CENT,2:09:34 PM,Monday March 29 2021,Positif
Muhammag kuncoro,Poly yuk gaes entry 72 jual besok 80,POLY,2:07:03 PM,Monday March 29 2021,Positif
Faliq H,"Membalas : CENT kira kira masih bisa naik ga ya
beli di 302 ya?",CENT,2:06:39 PM,Monday March 29 2021,Positif
Tommy Hermes,CENT kira kira masih bisa naik ga ya,CENT,2:06:26 PM,Monday March 29 2021,Positif
Septio Hanifa,BKSL Gassss,BKSL,1:55:50 PM,Monday March 29 2021,Positif
Aho Lie,"Membalas : pasti happy dong minggu lalu aja pembahasan saham lain dikiranya cent  
Kli untung pasti hepi  ",CENT,1:51:47 PM,Monday March 29 2021,Positif
Johny,"Membalas : CENT break 300 minggu ini confirm SSP
Wah CENT yang haka member the traders disini ini  ",CENT,1:36:53 PM,Monday March 29 2021,Positif
Hendro Masori,"Membalas : Cent masi boleh avg up gak ya?
Boleh asal tau aturan avg up",CENT,12:41:08 PM,Monday March 29 2021,Positif
Jafar Sim,"Cent jadi rame, bukan saya yg rame in yaa   Aho    ",CENT,12:37:24 PM,Monday March 29 2021,Positif
Novra,"Membalas : CENT break 300 minggu ini confirm SSP
Sy udh curi start duluan pak    ",CENT,12:13:48 PM,Monday March 29 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : SAME gmana ci? Masih boleh masuk?
Saya masi nawar ala emak2 di 420an kak   ",SAME,12:03:26 PM,Monday March 29 2021,Positif
Kaanz ,"Membalas : CENT break 300 minggu ini confirm SSP
Mantap pak de masih fullcash nunggu SSP , udah nunggu dari kemarin ",CENT,11:51:27 AM,Monday March 29 2021,Positif
Hendro Masori,CENT break 300 minggu ini confirm SSP,CENT,11:49:17 AM,Monday March 29 2021,Positif
M Rodi,"Membalas : Gd luck
siyap haka LUCK.  ",LUCK,11:48:57 AM,Monday March 29 2021,Positif
Bu Nana,Wah cent ada repo,CENT,11:41:14 AM,Monday March 29 2021,Positif
Nyangkuter Teh Pucuk,serem antm dipagerin 559K lot   ,ANTM,11:29:42 AM,Monday March 29 2021,Positif
Aho Lie,"Membalas : Hr ini CENT nya ngegas trs  
Saya gasss...in    ",CENT,11:25:57 AM,Monday March 29 2021,Positif
Puspita Wardani,Hr ini CENT nya ngegas trs  ,CENT,11:23:33 AM,Monday March 29 2021,Positif
Dane Fernando,"Ga da plan trading, ya beli PLAN aja ",PLAN,10:45:22 AM,Monday March 29 2021,Positif
Johny,"Membalas : https://www.cnbcindonesia.com/market/20210316115228-17-230456/lunasi-repo-trimegah-sekuritas-lepas-saham-cent-rp-398-m
Cent ini rumournya dibeli Digital colony",CENT,10:43:07 AM,Monday March 29 2021,Positif
Jafar Sim,"Bbri deviden rp. 98.9 eeuuyyy
Ini adalah foto",BBRI,10:12:37 AM,Monday March 29 2021,Positif
