,Data,User,Pesan,Jam,Tanggal,Status
10,11,Meneer Greg,"Membalas : Terimakasih pak   Saya mau bertanya untuk bagian yg entry bertahap (30, 30, 40) apakah ada kriteria tertentu lagi yg harus ter
Tidak ada criteria khusus sih pak kalo saya.

As long as in line with the view.

Kalau 3:1 jadi 2:1 kemungkinan bapak average up saat sudah 2/3 jalan menuju target ya.

Mungkin bisa dilakukan lebih awal, karena itu berarti view nya sudah jalan
Post panin pak",9:30:53 PM,Sunday March 28 2021,Hapus
11,12,A Bah,"Membalas : yuk taruhan
Good idea :bulb: 
Disiarkan live di youtube Deddy Corbuzier  ",9:16:14 PM,Sunday March 28 2021,Hapus
12,13,Danny Widianto,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Terimakasih pak  

Saya mau bertanya untuk bagian yg entry bertahap (30, 30, 40) apakah ada kriteria tertentu lagi yg harus terpenuhi untuk melakukan average up?

Karena ketika average up kan harga avg kita naik sehingga jarak RR yg awalnya sudah 1:3 mungkin berubah jadi 1:2 karna averagenya naik   
Suwun pak",9:11:21 PM,Sunday March 28 2021,Hapus
13,14,Ferri Sutanto,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Malam Pak Meneer, Thanks sharingnya.

Ijin tanya pak untuk point I.i.c dan I.i.d

Apa bisa dijelaskan dgn contoh chart?

 ",9:04:50 PM,Sunday March 28 2021,Hapus
14,15,Hendro Masori,Iya juga sih gak harus lama juga,8:36:50 PM,Sunday March 28 2021,Hapus
15,16,Hendro Masori,Pak Guru sekalian.,8:30:45 PM,Sunday March 28 2021,Hapus
16,17,Eko Bawono,"Membalas : Jumat malam meneer greg, Om Billy, Hao, Hu MY kalau bisa join sharing trading set up.
 ",8:30:31 PM,Sunday March 28 2021,Hapus
17,18,Hendro Masori,"Membalas : Suatu kehormatan diminta pak HM, apalagi sudah di share di TT Channel.. Mudah2an bisa join atau mungkin jadwal bisa disesuaikan
Wah iya lupaaaa.",8:30:28 PM,Sunday March 28 2021,Hapus
18,19,Meneer Greg,"Membalas : Jumat malam meneer greg, Om Billy, Hao, Hu MY kalau bisa join sharing trading set up.
Suatu kehormatan diminta pak HM, apalagi sudah di share di TT Channel..

Mudah2an bisa join atau mungkin jadwal bisa disesuaikan nanti karena sebagian kita mungkin akan Tri Hari Suci Kamis-Jumat-Sabtu  
Membalas : Ladies banyak yg mau share, jadi ladies talk   
Cocok...

Most welcome   ",8:23:56 PM,Sunday March 28 2021,Hapus
19,20,Hendro Masori,"Membalas : gentlemen bulan ini belum loh pakde   
Hahahaha. Coba kita tanya HuBil, HuHao sama HuMY",8:17:53 PM,Sunday March 28 2021,Hapus
20,21,Hendro Masori,"Membalas : gentlemen bulan ini belum loh pakde   
Hahahaha. Coba kita tanya HuBil, HuHao sama HuMY",8:17:53 PM,Sunday March 28 2021,Hapus
21,22,Hendro Masori,Iya. Diusahakan,8:16:09 PM,Sunday March 28 2021,Hapus
22,23,Kaanz ,"Membalas : Jumat malam meneer greg, Om Billy, Hao, Hu MY kalau bisa join sharing trading set up.
Voice chat pak de?",8:15:36 PM,Sunday March 28 2021,Hapus
23,24,Carlo Micelli,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Terima kasih Pak  ",8:14:44 PM,Sunday March 28 2021,Hapus
24,25,Kaanz ,"Membalas : Fix besok merah dullu ihsg kak
Bisa aja sesi 1 ijo sesi 2 merah , atau sebaliknya kita ga tau ",8:14:28 PM,Sunday March 28 2021,Bingung
25,26,Hendro Masori,"Jumat malam meneer greg, Om Billy, Hao, Hu MY kalau bisa join sharing trading set up.",8:11:57 PM,Sunday March 28 2021,Hapus
26,27,Mamba Mentallity,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Mksh om sudah dishare  ",8:07:55 PM,Sunday March 28 2021,Hapus
27,28,Fajar Oktavaria,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Izin save pak meneer  ",8:06:48 PM,Sunday March 28 2021,Hapus
28,29,Hendro Masori,"Membalas : Bisa di jelaskan di voice chat hu? Colek @hmasori   
Situ juga ya. Next voice chat bahas trading setup",8:06:26 PM,Sunday March 28 2021,Hapus
29,30,Bhagas,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
mantab pak ijin menyimak  ",8:04:12 PM,Sunday March 28 2021,Hapus
30,31,hery,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
tumben, ada petuah dari pak meneer   ",8:03:44 PM,Sunday March 28 2021,Hapus
31,32,Billy,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
Bisa di jelaskan di voice chat hu?

Colek @hmasori   ",8:03:10 PM,Sunday March 28 2021,Hapus
32,33,Hendro Masori,"Membalas : Hi pak HM and frds, izin share my setup: I.Trade Plan. General: - Carilah yang Uptrend! (Minimal range trading - never downtrend
 ",8:00:08 PM,Sunday March 28 2021,Hapus
33,34,Meneer Greg,"Membalas : Smoga lancar perjalanannya, saya sabar menunggu
Hi pak HM and frds, izin share my setup:
I.Trade Plan.
General:
- Carilah yang Uptrend!
(Minimal range trading - never downtrend)
- Kepemilikan saham terdistribusi baik (tidak sebagain besar dimiliki fihak tertentu)
- Volume/freefloat dimarket cukup (make sure, bisa keluar kalau sudah masuk).

I.i. Entry Point (EP)
Swing
a. Area buy close to support and/or longer uptrend line and/or demand area.
c. Ready to buy when no ""lower-low price"" near area buy.
d. Confirm buy when next candle close > previous candle close point (c).

Buy on Break (BoB)
d.Buy on break multiple tested resistance only when break high ACCOMPANIED WITH Volume!
Note: Biasanya, semakin sering resistance di test kalau break dengan volume baik strong chance naik cepat.

I.ii. Stop Loss (SL)
a.Put stop loss = maximum tolerance loss! yang tidak merusak capital dan psychology, sesuai dengan risk profile kita sendiri.
b. Put stop loss dibawah point I.i.a. atau broken multi-tested resistance untuk BoB

I.iii. Take Profit (TP)
TP at around resistance and/or supply area.

Important:
TP/SL harus *MINIMUM 3 banding 1, baik dalam point atau percentage dalam time frame tertentu ( misal 1 minggu/1 bulan/3 bulan)
- Trading plan harus di-review secara periodic apakah semua asumsi/berita/development masih in line.

*Kenapa 3:1 kita boleh salah 3x tapi hanya perlu benar 1x untuk tidak rugi!

II. Money Management
a. Gunakan uang dingin
b. Entry bertahap: 30% kalau benar tambahkan 30%, kalau masih benar tambahkan 40%
(Jadi kalau salah hanya rugi dari 30% dari intended amount untuk 1 saham bukan dari keseluruhan).
c. (Optional) Kalau point b sukses baru boleh oleskan margarin/use margin.
(Apply margin only if your position is already in-the-money atau profit!)

Then adjust your trailing profit accordingly.

Semoga berkenan dan bisa membantu sebagai masukan.",7:58:59 PM,Sunday March 28 2021,Bingung
34,35,Maimunah,"Asing juga tinggal dikit sih kayaknya keluar juga ngak ngefek amat
Yg serem skrg ritel byk eui
Membalas : Photo
Kalau liat berdasarkan makin muda taun kyknya kgk efek ke IHSG alias ijo besok
Kalau copet mau IHSG merah atau ijo yg penting sore cuan dan kosong porto
",7:25:52 PM,Sunday March 28 2021,Positif
35,36,Dharma,"Membalas : yuk taruhan
Wah seruh nih...

Ada pinggiran gk om 

Leg 1 09:00-11.30
Leg 2 13.30-14.50

Kek main bola ya  ",7:24:38 PM,Sunday March 28 2021,Hapus
36,37,Toni Lie,"Membalas : Fix besok merah dullu ihsg kak
Bukan di jkt, klo di jkt kemungkinan besar merah...",7:24:23 PM,Sunday March 28 2021,Negatif
37,38,Maimunah,"Membalas : yuk taruhan
Ada IHSG ngapain taruhan wkwkekwkw lebih enak ya 50:50
",7:23:50 PM,Sunday March 28 2021,Bingung
38,39,Maimunah,"Membalas : Ia om  
Sentimen ijo kuat soalnya dimana mana Dilini masa ijo, tapi hasil akhir yg menang yg guyur ttp follow theoney",7:22:44 PM,Sunday March 28 2021,Positif
39,40,Hendro Masori,"Liat besok aja. Merah apa ijo   
",7:12:22 PM,Sunday March 28 2021,Bingung
40,41,Agus Poetradi,"Membalas : Fix besok merah dullu ihsg kak
bisa fix tau drmn?",7:11:15 PM,Sunday March 28 2021,Hapus
41,42,Muhammag kuncoro,"Membalas : https://amp.kompas.com/nasional/read/2021/03/28/10385551/ledakan-di-depan-gereja-katedral-makassar-polisi-sebut-bom-bunuh-diri
Fix besok merah dullu ihsg kak",7:10:54 PM,Sunday March 28 2021,Negatif
42,43,Mamba Mentallity,Ijin belajar di sini   ,6:50:49 PM,Sunday March 28 2021,Hapus
43,44,Dewi,"*Pertarungan Kebenaran Antar Trader Sukses*

Ketika Anda telah membaca banyak buku tentang trading,Anda akan menemukan banyak pertentangan antara apa yang berhasil dan apa yang tidak di pasar saham/forex/futures/komoditas dari masing-masing kacamata penulis.

Setiap trader akan mengklaim jika pendekatan yang dia gunakan entah itu trading strategy,money management maupun psikologi trading efektif untuk menghasilkan uang dari market.

Trading itu unik.Saking uniknya seorang trader sukses mampu menghasilkan banyak uang dari market dengan cara yang sama sekali berbeda dari trader sukses lainnya yang juga mampu menghasilkan banyak uang dari market!

Anda mungkin pernah mendengar penyataan-pernyataan seperti ini:

Trader sukses 1 :  Hanya beli saham yang fundamental perusahaannya bagus dan harganya sedang terdiskon dan Anda akan menghasilkan uang dari pasar saham.

Trader sukses 2 :  Saya murni menggunakan Teknikal Analisis dan saya bisa trading di pasar mana saja dan menghasilkan profit.

Trader sukses 3 : Saya membeli saham yang fundamentalnya  bagus dan hanya akan membelinya ketika secara teknikal harga sahamnya sudah naik,tidak ketika harganya sedang jatuh.

Trader sukses 4 : Trading Forex lebih menguntungkan dengan modal kecil

Trader sukses 5 : Jangan.Trading Futures saja leverage-nya sangat besar.

Trader sukses 6 : Tidak..Tidak..Trading  Options saja.Anda akan mampu menghasilkan uang ke manapun arah pasar,baik itu naik turun maupun sideways.Strateginya juga banyak!

Trader sukses 7 : Gunakan strategi Trend Following,tidak perlu fokus dengan fluktuasi harian.

Trader sukses 8 : Swing Trading lebih efektif,karena kita mampu menghasilkan profit dari ayunan harga tanpa harus menunggu terlalu lama untuk menunggu trend berakhir.

Trader sukses 9 : Day Trading saja! Mereka yang mengatakan day trading tidak efektif karena mereka tidak tahu caranya bagaimana sukses menjadi day trader.

Trader sukses 10 : Indikator terbaik saya cuma Price Action.Saya suka melihat chart layar monitor yang  bersih .

Trader sukses 11 : Saya memilih untuk menggunakan 5 indikator agar tingkat keberhasilannya lebih tinggi.

Trader sukses 12 : Saya hanya menggunakan Moving Average sebagai sinyal jual dan beli.Dan saya bisa profit.

Trader sukses 13 : Saya cukup menggunakan area support dan resisten untuk menentukan jual dan beli saham.

Trader sukses 14 : Yang paling penting itu strategi trading dengan Winrate >80%

Trader sukses 15 : Tidak,yang paling penting itu Money Management.

Trader sukses 16 : Tanpa psikologi trading yang benar ,strategi trading terbaik dikombinasikan dengan money management terbaik sekalipun tidak akan mampu menghasilkan uang dari market dalam jangka panjang.

Dan Anda bisa menambahkan sendiri pernyataan bertentangan yang keluar dari mulut trader-trader sukses lainnya.Lantas apa pelajaran yang bisa kita ambil dari banyak-nya perbedaan opini tersebut?

Pelajarannya adalah:

Strategi apapun akan mampu menghasilkan uang dari market!
Temukanlah strategi trading yang cocok dengan kepribadian Anda.
Jalankan strategi trading Anda tersebut dengan konsisten (tidak melulu gonta-ganti strategi).

Tidak perlu berdebat dengan trader lain mengenai apa yang paling benar di market.Karena kebenaran itu sangat relatif.
Ini bukan tentang strategi trading,tetapi ini tentang Anda yang mampu membuat strategi trading tersebut bekerja. It is not the gun,but the man behind the gun!
Pertanyaannya adalah

  Apakah Anda sudah menemukan strategi trading yang cocok dengan kepribadian Anda dan pasar apa yang akan Anda tradingkan?

  Apakah Anda sudah memiliki teknik money management yang baik yang akan melindungi Anda ketika terjadi drawdowns (periode kerugian beruntun) dan memaksimalkan profit Anda pada periode kemenangan?

  Apakah Anda sudah memiliki mindset dan kebiasaan yang benar untuk dapat menjalankan strategi trading Anda (catatan:money management sudah termasuk di dalam strategi trading Anda) dengan konsisten dan disiplin apapun hasil trading Anda baik itu rugi maupun untung?


Artikel ini dikutip dari Trader Pemenang
",6:34:10 PM,Sunday March 28 2021,Bingung
44,45,Al Blenk,"Membalas : Photo
Yup,.triangle di dukung mndekati rups auto htf ",5:36:23 PM,Sunday March 28 2021,Bingung
45,46,Rakhmad Nirmawan Nofendi,"Membalas : Photo
pattern nya mirp kyk IHSG  ",5:26:08 PM,Sunday March 28 2021,Bingung
46,47,Bagus Giant,"PTBA, bukan ajakan beli ya. 
Belajar menggambar. Sudah tepatkah pak Guru ?
Ini adalah foto",5:15:22 PM,Sunday March 28 2021,Hapus
47,48,as s,"Membalas : Minggir Semua, Harga Batu Bara Melesat Pekan Ini! https://www.cnbcindonesia.com/market/20210328094648-17-233404/minggir-semua-ha
wiiih ptba :airplane:",4:30:57 PM,Sunday March 28 2021,Hapus
48,49,Jimmy,"Membalas : iya ini salah hitung. Angka 0,4% itu kalo dihitung dari total porto maksudnya hehe. Jadi kalo hitung based on banyak saham yg di
Iya kalo asumsi semua saham masuknya all-in ya bener Om.. 0.4% all in jadi butuh 5x ""kejeblos"" jadi lossnya 2%...  
Membalas : cari yg RPTnya minim 2 kali dong om, cuan dikit amat hehe
He he he semua juga maunya gitu Om. Tapi dari pengalaman saya sih baiknya realistis aja kalo di dunia saham. Maaf kalo salah    
",3:35:44 PM,Sunday March 28 2021,Bingung
49,50,Bapakne Naila,"Membalas : Intinya sih risiko loss = risiko cuan Om. Sebelum siap cuan 2%, maka harus siap loss 2% juga
cari yg RPTnya minim 2 kali dong om, cuan dikit amat hehe
",3:21:14 PM,Sunday March 28 2021,Negatif
50,51,Jimmy,"Membalas : oh nggak, untuk contoh tadi itu 2% dari saham yg dibeli utk cutlossnya. Ini maksudnya total risk yg harus dijaga. Jadi kalau da
Maaf Om. Apa ga salah hitung ya? Kalo modal dibagi 5 saham. Contoh 10.000 modalnya dibagi 5 saham, maka tiap saham dapat 2000. Maka kalo 0.4% per saham (2000x0.4%=8). Dan 8*5=40. Dan 40 dari 10.000 = 0.4% loh, bukan 2%? Maaf kalo saya salah paham...  
Membalas : Kayaknya Ngeri klo 2%dari total om..loss 5x aja udah down banget tuh mental..apalagi kata buku itu loss 10x dulu sebelum bener
Intinya sih risiko loss = risiko cuan Om. Sebelum siap cuan 2%, maka harus siap loss 2% juga  ",3:14:39 PM,Sunday March 28 2021,Bingung
51,52,Bapakne Naila,"Membalas : Kayaknya Ngeri klo 2%dari total om..loss 5x aja udah down banget tuh mental..apalagi kata buku itu loss 10x dulu sebelum bener
ya kan entri ga skalian om, pake piramida kebawah",3:11:34 PM,Sunday March 28 2021,Hapus
52,53,INDF 3000,"Membalas : Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja.
Kayaknya Ngeri klo 2%dari total om..loss 5x aja udah down banget tuh mental..apalagi kata buku itu loss 10x dulu sebelum bener",3:10:12 PM,Sunday March 28 2021,Negatif
53,54,Dirga,"Membalas : Ternyata rule CL nya 2% dari total modal ya om?
oh nggak, untuk contoh tadi itu 2% dari saham yg dibeli utk cutlossnya. Ini maksudnya total risk yg harus dijaga.

Jadi kalau dari kutipan tadi, misal ambil 5 saham, total loss yg harus dijaga masing2 harus 0,4% (dari total porto) biar total porto gk loss lebih dari 2%",3:06:23 PM,Sunday March 28 2021,Bingung
54,55,Jimmy,"Membalas : Mohon pencerahan om, aturan CL 2% (atau berapapun) ini ..terhadap total modal atau terhadap modal per trade ya?
Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja. Tapi ngincer TP cuannya pastinya dari overall modal juga  ",3:02:55 PM,Sunday March 28 2021,Positif
55,56,IHSG MORNING STAR OTW 6500,Haka antm 1jjta lot,2:54:23 PM,Sunday March 28 2021,Positif
56,57,Kaanz ,"Membalas : mau tanya, volume dikatakan tinggi itu kalau diatas volume rata"" candle harian atau gmn ya?
Kalo menurut saya volume dikatakan tinggi apabila transaksi hari ini lebih besar dari transaksi hari sebelumnya, baik tekanan jual atau beli, mungkin ada yang ditambah lagi dari teman  correct bila salah",2:48:51 PM,Sunday March 28 2021,Positif
57,58,Dirga,"Membalas : Kyk e modal trade,.misal buy modal 5jt ya Cl 2% dr 5jt itu,.hehe
iya betul ini",1:52:04 PM,Sunday March 28 2021,Hapus
58,59,Al Blenk,"Membalas : Mohon pencerahan om, aturan CL 2% (atau berapapun) ini ..terhadap total modal atau terhadap modal per trade ya?
Kyk e modal trade,.misal buy modal 5jt ya Cl 2% dr 5jt itu,.hehe",1:50:42 PM,Sunday March 28 2021,Hapus
59,60,Kaanz ,"Membalas : Mau tanya pak. Ngukur koreksinya apa ngga dari puncak W1 nya ya?
Bodi nya aja pak
Kalo SSP bodi saja, beda kalo pola HTF",1:15:50 PM,Sunday March 28 2021,Hapus
60,61,Eko Bawono,"Membalas : Info dari Rm Alfius, Komisi Kepemudaan Keuskupan Makassar:  Mgr dan Para Romo serta teman2 sekalian... kami aman. Tidak ada kor
Syukurlah tdk ada korban jiwa dr umat.
#CENT. stlh sinyal wiseman1 valid ungu justru naik utk sementara orange. Struktur harga dan volume oke. Hmmmm
Ini adalah foto
#ANTM. Sinyal wiseman1 valid. Formasi candle sinyal buy. Hmmmm
Ini adalah foto",11:36:16 AM,Sunday March 28 2021,Positif
61,62,"Gunaidi Ivanna Bakery & CNI, Coal","Info dari Rm Alfius, Komisi Kepemudaan Keuskupan Makassar:

 Mgr dan Para Romo serta teman2 sekalian... kami aman. Tidak ada korban jiwa sejauh ini kecuali pelaku bom bunuh diri. Beberapa umat luka ringan terkena pecahan kaca. Trims... Tuhan berkati. Kita doakan. 

Syukur bahwa tak ada korban jiwa dari umat atau masyarakat. Semoga hati kita tetap damai. Doaku untuk umat Katolik di katedral Makassar. Stay safe!


Selamat Minggu Palma",11:33:15 AM,Sunday March 28 2021,Hapus
62,63,Faliq H,"Membalas : Stock split membuat pelaku pasar berpikir secara psikologis bahwa harganya ""murah"" trus transaksinya krn liquid, gerakinnya lebi
baru aja diomongin kemarin wkwkwk. koh sehat?  ",10:25:45 AM,Sunday March 28 2021,Hapus
63,64,Ronny,"Membalas : berita2 sepertinya ini berpengaruh ke ihsg ga ya kalau dilihat dari kejadian2 lalu?
Kalau cukup besar baru ada impact. Ini sepertinya kecil2an. Belum jelas jg apakah ada korban selain pengebom.
",10:21:38 AM,Sunday March 28 2021,Hapus
64,65,Hartono Chi,"Membalas : Assa, same, luck, wiim
Satu lg tahun kabisat  ",10:19:10 AM,Sunday March 28 2021,Hapus
65,66,Harry Wijaya,"Membalas : berita2 sepertinya ini berpengaruh ke ihsg ga ya kalau dilihat dari kejadian2 lalu?
Mestinya gak , dl yg bom Marriot ada bentar",10:17:19 AM,Sunday March 28 2021,Hapus
66,67,rahmad,"Membalas : Ledakan Terjadi di Depan Gereja Katedral Makassar https://news.detik.com/berita/d-5510860/ledakan-terjadi-di-depan-gereja-katedr
berita2 sepertinya ini berpengaruh ke ihsg ga ya kalau dilihat dari kejadian2 lalu?",10:16:26 AM,Sunday March 28 2021,Hapus
67,68,Dirga,"The Complete Turtle Trader - Michael W Covel

Ini isi paragraf sebelumnya. 

Disini dijelaskan pentingnya utk tidak avg down dan utk selalu disiplin cutloss. 

Namun diingatkan jg pentingnya utk buyback bila kondisi/signal dari trading plan yg sudah dibuat kembali terpenuhi
Ini adalah foto",10:11:23 AM,Sunday March 28 2021,Bingung
68,69,Rays_Man,"Membalas : Day trading is not investing. Day trading is gambling. ...  Money is made in investments by investing and by owning good compani
ini juga bikin saya baru masuk pasar modal akhir thn kmaren, stlh perdebatan panjang dgn diri sendiri.. 
intinya gini, niat mau invest dgn 7an capital gain, mau 1 jam mau 10 thn bedanya cmn waktu khan? 
simple example, jika Anda pedagang, habis beli besitua 1 ton seharga 5000, pdhal anda tau harga terbaik 9000 bbrp bulan lg,lalu ada buyer butuh bbrp menit kemudian.. 
apa harus nunggu thn depan baru jual? ya nggak lah.. 
lgs aja jual.. bgt target yg kita harapkan tercapai.. 
cmn, perdebatan ini mmg msh akan berlanjut sampai kapanpun.. akan ada yg beranggapan ini gambling dan ada yg tersadarkan.. itulah dunia.. nggak perlu sama dgn pemikiran kita.. justru perbedaan itu indah   
makanya portofolio investasi saya akhirnya amburadul.. karena harga saham pilihan di kerek naik, pdhal saya maunya invest utk 7an dividen,lha kalo dividen 10% per thn, saya dikasih 5x nya saat itu, ngapain saya tahan.. mending saya jual utk cari emiten lain, atau kembali ke saham tsb saat harga koreksi dan akan mendapatkan jumlah lot yg lebih banyak.. (management stock)
Membalas : Bapak beli perusahaan buat 10 tahun juga spekulasi bukan? Siapa yg tau tiba2 bangkrut dll
nah ini... 
sbg pedagang saya juga merasa, apa bedanya beli saham dgn beli barang yg bisa kita pegang? sama aja prinsipnya.. 
barang dagangan juga bisa tau2 naikkkkk... lalu dibanting  .. kalo yakin akan naik hold aja.. kalo modal habis pdhal harus kulakan y jual rugi aja.. toh harga beli selanjutnya bisa dibawahnya lagi, dan bisa dpt barang lebih banyak(dr sisi jumlah) 
dlm dunia perdagangan, juga spekulasi, tp terukur dan terencana.. 
itulah yg membedakan kita dgn gambler.. togel dll.. 
lagian kalo judi khan kita urunan,duit jd 1, ntar yg menang ambil semuanya.. lha di saham khan jual beli.. entah hold 1 menit atau 10thn  ",8:08:03 AM,Sunday March 28 2021,Bingung
69,70,Mahmud,"Membalas : Tergantung plannya bapak, kalo uda kecemplung porsi gede dan jebol support bagusan SL tapi kalo masih dikit bisa avg down di sup
Kalau porsi gedenya sih belum pak.
Namanya msh belajar blm berani  Jadi blm seberapa.
Coba main tiktok bbrp hari.
Jumat mau jual di atas 450, ga tersentuh. Koreksi turun ke bawah, coba ambil lagi.
Eh malah avg nya di sekitaran 440. Penutupan kl ga salah di hrg merah 432.

Jadi mikir Senin apa ambil utk avg down. Takutnya kl sdh ambil malah masih longsor  

Kira2 apa kita bisa tahu kl ada gejala mau dilongsorkan oleh pemain fund gede?
",7:36:00 AM,Sunday March 28 2021,Bingung
70,71,hmin918,"Membalas : yang susah tu kadang2 psikologis, krn setup bagus, presumsi kita bullish, bnyk false break, pikiran kita ttp bullish, ehhhh rupa
resiko jadi trader.... ketika bullish.. kita harus yakin pilihan kita benar dan kuat hold berdasarkan analisa yang sudah kita buat. Tapi ketika hitungan salah.. kita harus balik arah ngakui salah
namanya juga manusia... sudah percaya diri ditinggikan.. tiba tiba suruh ngakui salah... egonya mau ditaruh di mana ha ha ha

tanpa percaya diri.... profit tidak akan maksimal.. kena gocek dikit pasti keluar. Tapi tanpa turunkan ego buat ngakui salah... rugi bisa maksimal",6:39:55 AM,Sunday March 28 2021,Bingung
71,72,qodri,"Membalas : Photo
ya bisa aja mmg base reset atau pivot reset, atau juga bisa tanda kita ada d market yang weak, mau koreksi, dll
yang susah tu kadang2 psikologis, krn setup bagus, presumsi kita bullish, bnyk false break, pikiran kita ttp bullish, ehhhh rupanya market mau koreksi dalam, kita asik hold aja tu barang krn pikiran kt bullish, makanya being objective dan open minded itu pentinggg kaliii",6:35:09 AM,Sunday March 28 2021,Bingung
72,73,Aho Lie,Awas....hati2 hari ini jgn main dibursa saham dulu saya dpt info...hr ini libur      ,6:14:26 AM,Sunday March 28 2021,Hapus
73,74,Dirga,"Mau komen karena sampai hari ini masih banyak yg terkendala kalo buy turun dan CL terbang, mungkin bisa belajar dari cara Paul Tudor Jones.

Di saat kita sudah punya setup yg sangat bagus misal: base kuat sudah ada, sentimen ada, big trend confirm, VCP jelas terlihat, volatility jg mengecil, lalu akhirnya breakout dan kita decide masuk, lalu ternyata false dan harga turun, mungkin bisa dipertimbangkan keluar dulu namun tetap pantau ketat, siap masuk lagi kalau ternyata harga berbalik arah naik kembali.

Jgn dengan mudah membuang hasil analisa dan penantian panjang kalau ternyata fail, karena selama setup kita sudah oke, kemungkinan besar harga masih akan lanjut naik tetap ada.

Keluar masuk saham yg arahnya blm konfirm naik/turun menurut saya sangat perlu untuk selalu membatasi potential risk harga masih akan dibawa turun dulu or ada kemungkinan ternyata benar lanjut mau meroket. 

All the small broker fee yg terbuang karena keluar masuk pasti akan terlunasi di saat trend berlanjut naik.

CMIIW  
Ini adalah foto",6:13:59 AM,Sunday March 28 2021,Bingung
74,75,Wahyu Dwiyanto,"Membalas : Photo
Pak guru untuk SAME masih hold donk sampe sekarang,cz semenjak harga break EMA60 di 90an masih setia sm EMA 20 nya,, yakin sm EMTK ,,
Jualnya kalo trend berbalik arah EMA20 memotong kebawah EMA60",5:59:05 AM,Sunday March 28 2021,Netral
75,76,Dirga,"morning all

baru selesai baca semua chat dari kemarin siang. bener2 buanyak daging ya      ",5:56:09 AM,Sunday March 28 2021,Hapus
