,Data,User,Pesan,Jam,Tanggal,Status
31,32,shendy,"Membalas : pernah coba tapi gagal,krna di setiap jam buka langgsung d ARB, jadinya nyangkut terus
pasangnya harga arb juga... nanti ketika ga dikunci langsung lepas sendiri...
sementara ketika masih dikunci sih ya pasti belon bisa wong ga ada yang buyernya",8:09:36 PM,Monday March 29 2021,Negatif
32,33,Benanta,"Contoh lainnya,, saham yg lurus tau tau bisa meledak, kesukaannya LKH  ,, eniwe inkp tkim dlu juga konsol di lama di 1000an klo ga salah
Ini adalah foto",8:07:20 PM,Monday March 29 2021,Netral
33,34,Nixon Maia,"Membalas : yes
pernah coba tapi  gagal,krna di setiap jam buka langgsung d ARB, jadinya nyangkut terus",8:06:45 PM,Monday March 29 2021,Negatif
34,35,Hendro Masori,Gak terlalu meyakinkan buat saya sih,8:05:55 PM,Monday March 29 2021,Negatif
35,36,Hendro Masori, ,8:02:02 PM,Monday March 29 2021,Hapus
36,37,Fauzan Tarmizi,"Membalas : Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret
Kacau, memang sedikit sekali maya ini total lot harian perdagangannya,

Liat arto RI kemaren, saat ex date, kencengnya bukan main",7:57:22 PM,Monday March 29 2021,Negatif
37,38,Benanta,"Membalas : Bisa yo pak?
Sepengetahuan sya bisa pak, tapi kebanyakn untuk escape plan karena chat ya gtu lurus aja, tapi untuk taun ini rada berbeda volumenya kmrn tinggi2 walaupun skrg uda mulai berkurang lagi",7:56:48 PM,Monday March 29 2021,Hapus
38,39,Rui :rocket: :speedboat::dancer: ,"Membalas : Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI? Padahal pas sentimen bank mini terbang, may
Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret sampai RI itu MAYA sempet digoreng kencang lho ... dari 3000an k 7000... itu juga diterbangkan kak",7:52:02 PM,Monday March 29 2021,Positif
39,40,Rui :rocket: :speedboat::dancer: ,"Membalas : Biasa ada tuh yg beli? Kirain kondisi gini arb ngetem aja ahaha
Ya ngetem berhari2 waktu itu saya, untungnya ada yang ngegoreng lagi jadinya bisa keluar",7:49:04 PM,Monday March 29 2021,Positif
40,41,Fauzan Tarmizi,"Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI?

Padahal pas sentimen bank mini terbang, mayapada saya liat kalem2 aja ga ikutan terbang, tetap kisaran 7000'an, lalu tujuan RI juga untuk ekspansi bisnis, tapi kenapa ARB berjilid2 ga berkesudahan ya, sudah FL hampir 53% saya   ",7:48:46 PM,Monday March 29 2021,Negatif
41,42,Noval Najib,"Membalas : Begitu tutup bursa, lsg masukkan order sell di harga ARB besok harinya dan berdoa bin berharap ada yang berbaik hati mau jemput
Biasa ada tuh yg beli? Kirain kondisi gini arb ngetem aja ahaha",7:47:51 PM,Monday March 29 2021,Negatif
42,43,Nana Paramita,"Membalas : Begitu tutup bursa, lsg masukkan order sell di harga ARB besok harinya dan berdoa bin berharap ada yang berbaik hati mau jemput
Termasuk experience saya juga ",7:46:51 PM,Monday March 29 2021,Hapus
43,44,Leo,"Membalas : Photo
Jadi retail yg markup ketika volume mulai menurun ya? Hmmm......   Nice lesson.
Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
Kayaknya bandar ada jalur prioritas kali ya . Soalnya saham IPO yg belum dibuka ""keran""-nya kalo ""bocor halus"" ga pernah liat kode broker retail",7:37:41 PM,Monday March 29 2021,Bingung
44,45,Eko Bawono,"#BINA. Silakan mau lihat yg mana 
Ini adalah foto",7:28:58 PM,Monday March 29 2021,Hapus
45,46,Bapakne Naila,"Membalas : Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail
Mark up with distribution",7:23:13 PM,Monday March 29 2021,Hapus
46,47,Del,"Membalas : Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail
Good question, yg keluarin duit gede buat naikin harga dgn volum setinggi itu masih pada di dalem, suhu2 apa ada yg bs kasih pemcerahan?",7:22:05 PM,Monday March 29 2021,Positif
47,48,Aho Lie,"Membalas : takut ke 5.800 beneran gak sih tuh? kemrn udh gila2an, masa hr ini juga
Klo takut jgn masuk tunggu kondusif ",7:21:47 PM,Monday March 29 2021,Netral
48,49,Ikke,"takut ke 5.800 beneran gak sih tuh? kemrn udh gila2an, masa hr ini juga",7:15:26 PM,Monday March 29 2021,Positif
49,50,Fajar Oktavaria,"Membalas : Ini pakai apa pak
Poems

untuk coba bisa apa engganya ya coba aja klik sell bisa atau engga
*saat ini saya ga bisa kasih contoh karna udah full cash",7:15:16 PM,Monday March 29 2021,Hapus
50,51,Vincent,"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Saya nyangkut pak, avg 2550 dr untung jd buntung (small portion) thanks buat bei    kalo gada acara suspend suspenan mungkin masih sempet exit sblm dibantai",7:13:12 PM,Monday March 29 2021,Negatif
51,52,An Aan,"Membalas : Olt apa yg bisa order sehari sebelumnya pak?
Sesama korban ARB, mau ikut antri  ",7:12:37 PM,Monday March 29 2021,Negatif
52,53,Hauw,"Membalas : Taunya darimana kak
Dari teken tombol Pak    ",7:10:18 PM,Monday March 29 2021,Hapus
53,54,Fajar Oktavaria,"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Kalo diliat pas naiknya itu banyak yang ngomongin sih disini, mungkin iya ada yang nyangkut",7:09:36 PM,Monday March 29 2021,Positif
54,55,Rolando,"Membalas : Klo main crypto pakai broker apa bro. Mksh.
setelah tanya binomo, sekarang tanya ini.
hmm...",7:09:13 PM,Monday March 29 2021,Hapus
55,56,Johny Asabro,"Membalas : bukannya banyak ya yg kyk gini bank mini 
mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas",7:08:27 PM,Monday March 29 2021,Hapus
56,57,Topher,"Membalas : Photo
bukannya banyak ya yg kyk gini bank mini ",7:07:32 PM,Monday March 29 2021,Hapus
57,58,Fajar Oktavaria,"Membalas : Klo main crypto pakai broker apa bro. Mksh.
Silahkan pc aja om disini untuk saham aja *daripada red card",7:06:46 PM,Monday March 29 2021,Hapus
58,59,Black Man,"Membalas : Klo main crypto pakai broker apa bro. Mksh.
Tokocrypto",7:06:42 PM,Monday March 29 2021,Hapus
59,60,Leo,"Membalas : Photo
Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail nyangkut dong ya? Lha ARB berjilid2 ga ada volumenya (kecil banget)",7:05:57 PM,Monday March 29 2021,Hapus
60,61,Melvin E. S.,"Membalas : Profit dari crypto saya hantamkan 10 lot diharga pucuk , sedih sedih  
Klo main crypto pakai broker apa bro. Mksh.",7:05:54 PM,Monday March 29 2021,Hapus
61,62,Rolando,"Membalas : ARB berjilid2 bgni apa nggak di suspend y? Maaf, newbie bertanya.
""ARB berjilid2 begini apa nggak di suspend y?""

logikanya dimana ya, memangnya jika di suspend selanjutnya harganya naik lagi?
apa ndak ngerti harga saham naik itu soalnya ada yang haka, ada yg rebutan beli, dan mereka itu pelaku pasar juga, manusia.
apa ndak ngerti harga saham turun itu soalnya ada yang haki, ramai jualan.
jika masih lebih banyak yg haki drpd haka, setelah suspend pun tetap akan ARB.
kita ndak bisa maksa orang lain utk beli saham kita dong (debatable)

sepemahaman saya juga soal UMA/suspend:
barang bagus, jangan dihaka (belum selesai akum mungkin, hehe...)
barang bagus, jangan dihaki (ndak perlu dibilangi juga di hold lah)
barang busuk, jangan dihaka (wajar jika kena UMA/suspend)
barang busuk, jangan dihaki (ndak perlu dikenai UMA/suspend, karena paleng jg ndak ada yg mau beli)

lagipula saham yg suspend malah ndak bisa dijual sama sekali, saham ARB pun masih bisa (pasang offer di harga ARB secepatnya), atau tunggu pantulan.",7:04:55 PM,Monday March 29 2021,Hapus
62,63,Fajar Oktavaria,"Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
jauh sebelum opening pasang jualnya dari malam, sisanya berdoa aja semoga ada yang beli  ",7:04:15 PM,Monday March 29 2021,Positif
63,64,Kambing Trader,"Membalas : Photo
Cuman sebatas ARA 3X pak... apa kabar yg ambil dari bawah terus jual di pucuk?",7:03:57 PM,Monday March 29 2021,Negatif
64,65,Rui :rocket: :speedboat::dancer: ,"Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
Begitu tutup bursa, lsg masukkan order sell di harga ARB besok harinya dan berdoa bin berharap ada yang berbaik hati mau jemput (speaking from experience)",7:02:57 PM,Monday March 29 2021,Hapus
65,66,ericko L,"Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
pake doa bu",7:02:43 PM,Monday March 29 2021,Hapus
66,67,shendy,"Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
bikin order dari jam 12.01 malem ato kalo bisa dari sore, tergantung OLT",7:02:29 PM,Monday March 29 2021,Hapus
67,68,Herni,Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar?,7:01:44 PM,Monday March 29 2021,Negatif
68,69,David,"Membalas : Photo
Saham BANK menakutkan nih lepas suspens",7:01:30 PM,Monday March 29 2021,Hapus
69,70,shendy,"Membalas : ARB berjilid2 bgni apa nggak di suspend y? Maaf, newbie bertanya.
yang diutamakan bei kan supaya retail ga beli fomo, ketika harga tinggi jangan sampe salah ambil keputusan... kalo jual mah bebas2 aja mau berapa juga  ",7:01:28 PM,Monday March 29 2021,Hapus
70,71,Hendro Masori,"Membalas : ARB berjilid2 bgni apa nggak di suspend y? Maaf, newbie bertanya.
BEI mah cuek aja",7:00:57 PM,Monday March 29 2021,Negatif
71,72,Christian,"Membalas : Photo
ARB berjilid2 bgni apa nggak di suspend y? Maaf, newbie bertanya.  ",7:00:41 PM,Monday March 29 2021,Hapus
72,73,Hendro Masori,"Membalas : Kalo seperti chart diatas, gimana cara baca candle nya ya ?
Tradingnya gak pake candle. Pake doa",7:00:21 PM,Monday March 29 2021,Hapus
73,74,rahmad,"Membalas : Photo
emang diniatkan bandarnya agar suspend ya",6:58:47 PM,Monday March 29 2021,Hapus
74,75,Rio Hamdani,"Kalo seperti chart diatas, gimana cara baca candle nya ya ?",6:55:48 PM,Monday March 29 2021,Hapus
75,76,Nanang Eko,"Membalas : Photo
BANK buka suspend otw nyusul ",6:54:31 PM,Monday March 29 2021,Hapus
76,77,Nixon Maia,"Membalas : Photo
Salah Langkah, Bandarnya sadis, mau d ARB kan brp kali supaya dia puas ",6:54:29 PM,Monday March 29 2021,Negatif
77,78,Panji Wirawan,Sy kena di BBSI itu...hr trkhir sblum drop udah pasang sell di jam 15.05...ga bisa pasang...besoknya smpai hr ini ada kira2 40an % loss...untung MM nya msh aman...kalau ga amsiong itu...,6:54:00 PM,Monday March 29 2021,Negatif
78,79,Del,"Membalas : Yoo
Setau saya MLPL BMAS jg ya?",6:48:28 PM,Monday March 29 2021,Hapus
79,80,Benanta,"Membalas : Mantap, thanks pantau BINA, tunggu konfirmasinya di hari jumat khan ya? Closing candle weekly?
Yoo",6:47:31 PM,Monday March 29 2021,Hapus
80,81,Del,"Membalas : Photo
Mantap, thanks pantau BINA, tunggu konfirmasinya di hari jumat khan ya? Closing candle weekly?",6:42:54 PM,Monday March 29 2021,Hapus
81,82,Andre Salim,yg liquid yg kriuk yg murah ikan goreng,6:38:16 PM,Monday March 29 2021,Hapus
82,83,Del,"Membalas : Pernah dari +10% tiba2 arb wkwk
Iyaa, kurang likuid juga",6:34:27 PM,Monday March 29 2021,Hapus
83,84,Fadli,"Membalas : Supirnya mengerikan ini pak guru, sekali dihantem ga dikasih ampun
Pernah dari +10% tiba2 arb wkwk",6:33:25 PM,Monday March 29 2021,Negatif
84,85,Hendro Masori,Belum. Polo bareng Jaket,6:19:40 PM,Monday March 29 2021,Hapus
85,86,Hendro Masori,"No Crypto disini. Kalau saya yang liat, straight red card",6:09:11 PM,Monday March 29 2021,Hapus
86,87,Hendro Masori,Gimana bersihin nya. Satu2 males hahaha,6:08:18 PM,Monday March 29 2021,Hapus
87,88,Meneer Greg,"Membalas : member yg di add pun last seen nya 'last seen long time ago'
Wah good due diligence pak   ",6:07:46 PM,Monday March 29 2021,Hapus
88,89,Bapakne Naila,"Membalas : Domestik yg mst di tindak.. mreka yg td kompak mengarb kan saham hingga ihsg lemah.. tktny ad broker domestik yg jd akun asing
Haa?",5:35:17 PM,Monday March 29 2021,Hapus
89,90,ARAKAN IHSG 30MAR - 01 APRIL THE LAST SEROK,"Membalas : Photo
Domestik yg mst di tindak.. mreka yg td kompak mengarb kan saham hingga ihsg lemah.. tktny ad broker domestik yg jd akun asing",5:23:35 PM,Monday March 29 2021,Negatif
90,91,Hendro Masori,"Membalas : Photo
Keren
Membalas : Yg jaket pesanan yg trip kedua apa sdh jadi ya pak @hmasori ?
Belum Pak. Minggu depan ya
Ada di video saya Pak yg dengan UB
Rombongan darimana ini
",5:12:55 PM,Monday March 29 2021,Hapus
91,92,          ,"Membalas : https://www.straitstimes.com/business/companies-markets/goldman-sachs-u-turn-on-hedge-fund-manager-puts-bank-at-nexus-of-margin
Pak greeg apa efeknya dengan adanya berita ini ya pak? Kasih insight sedikit pak",4:16:48 PM,Monday March 29 2021,Hapus
92,93,Novagus VP,"Rombongan KCL,, Korban Cut Loss  ",4:07:46 PM,Monday March 29 2021,Negatif
93,94,Liem Peter,TT langsung ARa,4:04:02 PM,Monday March 29 2021,Positif
94,95,UMAR,"Membalas : https://www.tradingview.com/x/JjFS91Nu/ malah cent & garden pet wkwk... sorry2.. paternnya pun mirip banget
   ",3:57:32 PM,Monday March 29 2021,Hapus
95,96,Kaanz ,"Membalas : Bukan jebol resisten lg tp sdh ATH   kudu di tarik garis fibo  
Hehe iya betoll  suport kemaren 17k dong ",3:49:21 PM,Monday March 29 2021,Hapus
96,97,Al Blenk,"Pntes IHSG sepi.,pda over dsni smua trnyta    ",3:47:54 PM,Monday March 29 2021,Hapus
97,98,Puspita Wardani,"Membalas : Pak de jebol lagi resistance TT 
Bukan jebol resisten lg tp sdh ATH   kudu di tarik garis fibo    ",3:43:49 PM,Monday March 29 2021,Hapus
98,99,Kaanz ,Pak de jebol lagi resistance TT ,3:42:06 PM,Monday March 29 2021,Hapus
99,100,rigeladitya,"jebol resist volume gede ini TT, ga bakal false.",3:36:43 PM,Monday March 29 2021,Hapus
100,101,ID,ARA...!!!,3:35:36 PM,Monday March 29 2021,Hapus
101,102,AbdKamal,Yg di haka pre closing bukan ihsg tpi grup TT  ,3:35:01 PM,Monday March 29 2021,Hapus
102,103,Rui :rocket: :speedboat::dancer: ,"Membalas : Berkebalikan sama IHSG ini membernya TT pakde
di penutupan ARA   
",3:25:57 PM,Monday March 29 2021,Hapus
103,104,Kirana L,Rombongan SAME X CENT kah ?,3:25:23 PM,Monday March 29 2021,Hapus
104,105,Van BS,Berkebalikan sama IHSG ini membernya TT pakde,3:25:16 PM,Monday March 29 2021,Hapus
105,106,Hendro Masori,"Kaos saya kasih signature TT di bagian dalam leher belakang
Wuih ada apa ini rombongan..",3:24:27 PM,Monday March 29 2021,Hapus
106,107,Hendro Masori,"Wuihhh udah pada nyampe
",3:23:31 PM,Monday March 29 2021,Hapus
107,108,Jay Jay,"Membalas : Photo
buset jantungnya kuat? dari arb jd ara",3:06:08 PM,Monday March 29 2021,Positif
108,109,Johny,"www.iqplus.info/news/stock_news/essa-essa-merefleksi-pertumbuhan-dengan-brand-identitas-perusahaan,87074648.html",3:00:55 PM,Monday March 29 2021,Hapus
109,110,Hendro Masori,"Membalas : Screenshot (976).png
Jangan lupa perhatikan volumenya juga",2:58:58 PM,Monday March 29 2021,Hapus
110,111,ARAKAN IHSG 30MAR - 01 APRIL THE LAST SEROK,"Membalas : Pakde @hmasori ada 3 sektor yg bisa dijadiin pantauan utk next week. 1. Banking 2. Properti dan konstruksi BUMN yg rata2 besok d
Sangkut brp wskt sy jg sangkut santuy itu bandar sdh habis distribusi.. tgl menunggu wkt diangkat jgn dibahas trs pak biar diam2 dinaikin saham kalau trs dibahas diarb kan bandar nnt.. bandar bertebaran di grup mana2 hati2",2:58:16 PM,Monday March 29 2021,Negatif
111,112,Billy,"Congrats yg punya era... ARA hari ini
Ini adalah foto",2:58:11 PM,Monday March 29 2021,Positif
112,113,Muhammag kuncoro,Mbah giso (MG) makasih ya Akhir nya bisa cuan tambahan buat beli mobil semoga berkah ya mbah..    ,2:56:02 PM,Monday March 29 2021,Hapus
113,114,Hendro Masori,"Nanti saya DM Pavel Durov biar bisa tulis tebel
   ",2:55:23 PM,Monday March 29 2021,Hapus
114,115,Puspita Wardani,"Membalas : Sayang amat cent nya ga close d 300 ya pak
Gk usah buru2   yg penting endingnya cakep   di hr kamis besok  ",2:55:06 PM,Monday March 29 2021,Netral
115,116,Fajar Oktavaria,"Membalas : Sayang amat cent nya ga close d 300 ya pak
sudah dibahas berkali kali minggu ini bukan hari ini, masih ada aja  ",2:53:31 PM,Monday March 29 2021,Hapus
116,117,Hendro Masori,Patokannya minggu ini Pak bukan hari ini,2:52:50 PM,Monday March 29 2021,Hapus
117,118,apieth,Sayang amat cent nya ga close d 300 ya pak,2:52:31 PM,Monday March 29 2021,Negatif
118,119,Hendro Masori,Yg bareng sama jaket atau kaos polo nanti sekalian,2:52:23 PM,Monday March 29 2021,Hapus
119,120,Muhammag kuncoro,Ngapain beli antam 3 bulan sekali cuma orofit  11% beli ikan sehari bisa dapat 25% makasih bandar ngehayal terus    ,2:52:21 PM,Monday March 29 2021,Negatif
120,121,Hendro Masori,Yang dikirim baru yg pesen kaos oblong doang ya,2:51:58 PM,Monday March 29 2021,Hapus
121,122,Hendro Masori,Sipppp,2:51:41 PM,Monday March 29 2021,Hapus
122,123,Muhammag kuncoro,Ikan enak bakar,2:51:11 PM,Monday March 29 2021,Hapus
123,124,Rendi Setiawan,Ikan sesi 2 ara   ,2:50:54 PM,Monday March 29 2021,Positif
124,125,cuaners,IHSG meluncurr,2:50:41 PM,Monday March 29 2021,Hapus
125,126,Liem Peter,"Membalas : iya ga harus, bagusnya saat W2nya volume turun
okok.. berati nunggu volume nya naik aja nih supaya confirm ssp kan..
mari kita pompom kwkw",2:49:41 PM,Monday March 29 2021,Hapus
126,127,Muhammag kuncoro,Ikan asikkkk,2:45:08 PM,Monday March 29 2021,Hapus
127,128,ando,Ihsg kok ngeprank ya,2:45:03 PM,Monday March 29 2021,Hapus
128,129,Aho Lie,"Membalas : mau dibawa ke berapa cent pak
Sampai hr tua  ",2:41:40 PM,Monday March 29 2021,Hapus
129,130,Jafar Sim,"Membalas : Kok tau 
Bandar yg baik hati mau bagi cuan ke kita semua    ",2:41:18 PM,Monday March 29 2021,Hapus
130,131,Yudha,Antm arb,2:41:18 PM,Monday March 29 2021,Negatif
131,132,rahmad,"Membalas : Kok tau 
mau dibawa ke berapa cent pak",2:41:00 PM,Monday March 29 2021,Hapus
132,133,Aho Lie,"Membalas : Maksudnya mau kasih info scalping harian buy dan sell di harga berapa pak, cuma beliau salah sensornya, malah harga yg beliau se
Kok tau ",2:40:39 PM,Monday March 29 2021,Hapus
133,134,Jafar Sim,"Membalas : setau saya di sini rules nya pakde gak boleh pamer porto seperti itu pak  
Maksudnya mau kasih info scalping harian buy dan sell di harga berapa pak, cuma beliau salah sensornya, malah harga yg beliau sensor, fix! Bandar CENT ini mah    Aho",2:40:09 PM,Monday March 29 2021,Hapus
134,135,Aho Lie,"Membalas : setau saya di sini rules nya pakde gak boleh pamer porto seperti itu pak  
Ok sori",2:39:38 PM,Monday March 29 2021,Hapus
135,136,as s,akhirnya antim arb wkwk,2:39:19 PM,Monday March 29 2021,Negatif
136,137,Shimano Aditya,"Membalas : Sori biar termotivasi
setau saya di sini rules nya pakde gak boleh pamer porto seperti itu pak   ",2:38:41 PM,Monday March 29 2021,Hapus
