,Data,User,Pesan,Saham,Jam,Tanggal,Status
10,11,Brian Andhika,"Membalas : Aman bisa 2000 hold aj
Kalo tidur masih tenang brti aman pak...kl udah gelisah ya brti g aman...   ",AMAN,9:00:43 PM,Monday April 5 2021,Hapus
11,12,Andru,"Membalas : Tins aman gk ya di hold avg 1740
Aman bisa 2000 hold aj
","AMAN,TINS",8:59:05 PM,Monday April 5 2021,Netral
12,13,Kaanz',"Membalas : ga usa buru2..tutup aja smua gap dlo sampai yg plg bawah     duit iseng2 taro koin dlo..
Coin mana coin?  Lagi hot topic ",KOIN,8:44:33 PM,Monday April 5 2021,Positif
13,14,Erich,"Membalas : Semoga besok tercapai dan lekas balik atas pak 
ga usa buru2..tutup aja smua gap dlo sampai yg plg bawah     duit iseng2 taro koin dlo.. 
",KOIN,8:43:58 PM,Monday April 5 2021,Netral
14,15,Evi Berliana,Pakde @hmasori apakah right issue SMRA akan bernasib baik seperti SAME ? Share sedikit insight nya Pak... ,"SAME,SMRA",8:36:19 PM,Monday April 5 2021,Positif
15,16,Muhammad Repi,Tins aman gk ya di hold avg 1740,"AMAN,TINS",8:34:32 PM,Monday April 5 2021,Netral
16,17,Hendro Masori,"Membalas : Makasih pak   ada pembahasan tentang RI same yg ke-2 bulan dpn pak?
Belum ada",SAME,8:32:32 PM,Monday April 5 2021,Hapus
17,18,Ika B,"Membalas : Lagi diedit
Makasih pak   ada pembahasan tentang RI same yg ke-2 bulan dpn pak?",SAME,8:31:10 PM,Monday April 5 2021,Hapus
18,19,UMAR,"Membalas : mudahmudahan ga ada lg yg nanya nilai nominal dan harga tebus
Terakhir ada yg nanya, trus lanjut debat, trus left orangnya ",TRUS,8:30:35 PM,Monday April 5 2021,Hapus
19,20,Severinus Utomo,"Membalas : Photo
Memang begitulah TOWR",TOWR,8:19:33 PM,Monday April 5 2021,Hapus
20,21,Kaanz',"Membalas : Itu yang terakhir pakde share buku salah satunya ada yang berhubungan dengan psikologi *bukunya mark manson
Yang mana itu pak fajar?",MARK,8:11:35 PM,Monday April 5 2021,Hapus
21,22,Fajar Oktavaria,"Membalas : Pak de @hmasori rekomendasi buku cara agar bisa merubah mindset, yang berhubungan dengan psikologi trading
Itu yang terakhir pakde share buku salah satunya ada yang berhubungan dengan psikologi *bukunya mark manson","AGAR,MARK",8:08:55 PM,Monday April 5 2021,Hapus
22,23,Kaanz',"Pak de @hmasori rekomendasi buku cara agar bisa merubah mindset, yang berhubungan dengan psikologi trading ",AGAR,8:07:43 PM,Monday April 5 2021,Hapus
23,24,Tejo Arum,"Membalas : Distribusi lagi dong masih mau nawar lebih murah lagi wkwkwk
Tak temenin yaaa lagi full cash hehehe",CASH,8:07:02 PM,Monday April 5 2021,Hapus
24,25,Evi Berliana,"Membalas : mudahmudahan ga ada lg yg nanya nilai nominal dan harga tebus
Udah pengalaman di SAME ya",SAME,8:06:59 PM,Monday April 5 2021,Hapus
25,26,Tejo Arum,"Membalas : Kelamaan pindah ke yg laen aj bsde udh mulai akum
Saya nunggi bsde",BSDE,8:06:01 PM,Monday April 5 2021,Netral
26,27,Ahmad Rifai,Kelamaan pindah ke yg laen aj bsde udh mulai akum,BSDE,8:04:37 PM,Monday April 5 2021,Positif
27,28,Severinus Utomo,"Membalas : SMRA di antara emiten property yg laen lg d distribusi udh 5 harian ga tau knp, semoga bsok stop distribusi -_-
Distribusi lagi dong masih mau nawar lebih murah lagi wkwkwk",SMRA,8:02:58 PM,Monday April 5 2021,Negatif
28,29,Ahmad Rifai,"SMRA di antara emiten property yg laen lg d distribusi udh 5 harian ga tau knp, semoga bsok stop distribusi -_-",SMRA,8:02:15 PM,Monday April 5 2021,Negatif
29,30,Evi Berliana,"SMRA mau right issue, gimana pendapat para suhu? Menarik kah ditengah keringnya IHSG?
Ini adalah foto",SMRA,7:57:43 PM,Monday April 5 2021,Positif
30,31,Puspita Wardani,"Membalas : Wih, perasaan yg dibeli selalu ijo terus kk ga ada yg merah. Ngintip dong portonya
Saya cuma setia sama 2itu   kemarin2 ASSA nya jg berkurang FP nya  
",ASSA,7:05:28 PM,Monday April 5 2021,Bingung
31,32,Faliq H,"Membalas : Lha saya udah bersih, dr kemarin   udah pindah ke ASSA dr kamis siang penutupan
Wih, perasaan yg dibeli selalu ijo terus kk ga ada yg merah. Ngintip dong portonya",ASSA,7:04:44 PM,Monday April 5 2021,Hapus
32,33,Puspita Wardani,"Membalas :    masih kuat??  Dari ijo jadi merah
Lha saya udah bersih, dr kemarin   udah pindah ke ASSA dr kamis siang penutupan  ",ASSA,7:01:02 PM,Monday April 5 2021,Bingung
33,34,Hendro Masori,"Membalas : Dibawahny ad buka g itu pak? Men's health apa gmn gtu
Kowe nggoleki Enny Arrow tha?
Opo Nick Carter Lang?",NICK,6:16:02 PM,Monday April 5 2021,Hapus
34,35,David,"Membalas : Ada insight menarik dari Pak Guru soal SAME di GEMES #3
sudah ada gemes #3 ya pak @hmasori",SAME,5:12:43 PM,Monday April 5 2021,Hapus
35,36,Eru Yagami,PGAS belum keluar ya Q4nya,PGAS,5:10:44 PM,Monday April 5 2021,Hapus
36,37,Fajar Oktavaria,"Membalas : Ada insight menarik dari Pak Guru soal SAME di GEMES #3
Loncengnya sudah diklik 7x pakde, tinggal tunggu uploadnya aja  
",SAME,4:54:36 PM,Monday April 5 2021,Hapus
37,38,AAN,"Membalas : https://investasi.kontan.co.id/news/rugi-bersih-sarana-meditama-metropolitan-same-naik-jadi-rp-449-miliar-di-2020
Q4 nya malah laba lho pakdhe


Omset meningkat..

Q1 s.d Q3 ngga usah dilihat soalnha kan masih manajemen lama wkwkw",SAME,4:51:00 PM,Monday April 5 2021,Positif
38,39,Hendro Masori,"Ini adalah foto
Silahkan sesuaikan trading plan masing2
Ada insight menarik dari Pak Guru soal SAME di GEMES #3","PLAN,SAME",4:49:57 PM,Monday April 5 2021,Hapus
39,40,Severinus Utomo,"Membalas : kalo gaada retail, market maker dapet untung dari mana dong
Masalahnya pergerakan uang ritel gk terorganisir, bisa juga banyak ritel2 teri cabut, tapi dicover ritel2 kakap kayak Pak LKH",UANG,4:46:50 PM,Monday April 5 2021,Hapus
40,41,Meneer Greg,"Membalas : Uang retail seberapa banyak sih dibanding market maker wkwkwk
Lho ya kalau cummulative ya besar jg menurut saya..",UANG,4:46:41 PM,Monday April 5 2021,Hapus
41,42,41056 (Rizki Putra Perdana),"Membalas : Uang retail seberapa banyak sih dibanding market maker wkwkwk
kalo gaada retail, market maker dapet untung dari mana dong",UANG,4:45:38 PM,Monday April 5 2021,Hapus
42,43,Severinus Utomo,"Membalas : Kalau retail exodus ke crypto, market maker equity bingung... Dikasih berita bagus gak efek, berita jelek gak efek Semua ak
Uang retail seberapa banyak sih dibanding market maker wkwkwk",UANG,4:45:13 PM,Monday April 5 2021,Hapus
43,44,41056 (Rizki Putra Perdana),"Membalas : Bisa ndelosor lagi nihh, volume nya biasanya diatas 15T hari ini cuma 8T.
gimana gak lari ke koin.., satu koin tier 2 aja sehari value transaksi nya bisa 16 Trilyun  ","KOIN,SATU",4:42:44 PM,Monday April 5 2021,Positif
44,45,David,Smua ke koin haha,KOIN,4:23:45 PM,Monday April 5 2021,Positif
45,46,Nanang Eko,"Membalas : anak pungut, pak   suka dibedain sama bandar
Bandarnya cash out jg mungkin pak migrasi ke coin jg 
Membalas : hari ini tetangga ijo loh  
Rumput tetangga lebih hijau dan lebat pak carik ",CASH,4:05:39 PM,Monday April 5 2021,Positif
46,47,atmajaya terry,"WSKT, PTPP mau kemana ini? After Gentlement talk malah loyo","PTPP,WSKT",3:52:59 PM,Monday April 5 2021,Negatif
47,48,Jutha Bram,"Membalas : Konstruksi contohnya apa nih pak? Bumn karya sudah dibanting sgt dalam dan lapkeunya cukup terperosok jg
ADHI WIKA WSKT PTPP WSBP WTON WEGE. Semua lah...
Kita lg menunggu konfirmasi pantulan...
Yg pasti kl masuk stelah koreksi dalam begini, risk sdh sangat terbatas kan yak ","ADHI,PTPP,WEGE,WIKA,WSBP,WSKT,WTON",3:44:30 PM,Monday April 5 2021,Hapus
48,49,Andre,"Membalas : tetap pak. jadi tidak ada harga teoritis. contoh PNBS kemarin
Oke thanks Pak",PNBS,3:44:26 PM,Monday April 5 2021,Hapus
49,50,hery,"Membalas : iya, sama Ama yg d rumah y pak.
jangan cari temen deh  
tetap pak. jadi tidak ada harga teoritis. contoh PNBS kemarin",PNBS,3:42:29 PM,Monday April 5 2021,Bingung
50,51,Rays_Man,"Membalas : Ya kan bagus, dikasi diskon utk beli  Beli di merah, jual di ijo. Jangan kebalek trs FOMO ntar... Clue: Banyak kok yg sdh re-a
CMIIW, saya pantau ELSA, PTBA kayaknya di akum deh.. dr broker summary.. jd, retail CL karena div yield rendah tp ada yg nampung.. elsa juga di maintain.. kalo SAME distribusi kayaknya y Pak   
Membalas : Photo
   
wah,ada reporter CNBC disini
","ELSA,PTBA,SAME",3:29:02 PM,Monday April 5 2021,Bingung
51,52,Benhan,"Membalas : Headline di CNBC:  Capek dikerjain bandar IHSG, member The Traders pindah trading Crypto. 
Ada yg iseng sotosop di sini",SINI,3:15:43 PM,Monday April 5 2021,Hapus
52,53,Vincent," , mending dikerjain bandar yg kena satu dunia. Drpd 1 negara doang",SATU,3:15:20 PM,Monday April 5 2021,Hapus
53,54,RBTAN59,"Membalas : sekarang saham2 blue chip lagi pada downtrend semua. saya kurang tau penyebabnya
krn action  bandar tp manfaatin modal yg masuk dr investor jangka panjang  ",BLUE,3:14:00 PM,Monday April 5 2021,Hapus
54,55,Jimmy,"Membalas : Saya incar bbkp 500 ga dapat pak  ,, @JA168 benar juga yak? Feeling ijo maka harusnya merah yak   terima kasih pak
Besok kali dapat Pak  ",BBKP,3:10:25 PM,Monday April 5 2021,Hapus
55,56,Ngurah Dharma Putra,"Membalas : Asuransi saham Bukannya dicover tapi rugi hihuhuhu
Jleb banget boss    
Ttp smngattt",BOSS,3:09:56 PM,Monday April 5 2021,Hapus
56,57,Eru Yagami,sekarang saham2 blue chip lagi pada downtrend semua. saya kurang tau penyebabnya,BLUE,3:08:11 PM,Monday April 5 2021,Negatif
57,58,Jafar Sim,"Membalas : Ya kan bagus, dikasi diskon utk beli  Beli di merah, jual di ijo. Jangan kebalek trs FOMO ntar... Clue: Banyak kok yg sdh re-a
Saya incar bbkp 500 ga dapat pak  ,, @JA168 benar juga yak? Feeling ijo maka harusnya merah yak   terima kasih pak   ",BBKP,3:08:04 PM,Monday April 5 2021,Hapus
58,59,RBTAN59,"Membalas : kalo pengen cuan pasti ya deposito, di saham nggak ada yang pasti soalnya ngikutin bandar.
bisa pasti  om kalo dah paham / tau apa kepentingan pengendali  pd corp action... spt pak Dhe Hm di same bisa coan kotos 2  
",SAME,3:06:51 PM,Monday April 5 2021,Hapus
59,60,Jimmy,"Membalas : Closing masih merah, berarti akurasi saya masih 0%      feeling saya hari ini ihsg ijo tebel
Kalo sudah tahu akurasi kita jelek, lakukan aksi sebaliknya Pak. Saya beberapa kali begitu. Feeling mau buy, akhirnya eksekusi sell, malah jadi bener   ",AKSI,3:05:58 PM,Monday April 5 2021,Hapus
60,61,Jutha Bram,"Membalas : Closing masih merah, berarti akurasi saya masih 0%      feeling saya hari ini ihsg ijo tebel
Ya kan bagus, dikasi diskon utk beli 
Beli di merah, jual di ijo. Jangan kebalek trs FOMO ntar...

Clue:
Banyak kok yg sdh re-akumulasi...
Ritel sdh out, turnover cuma 5,9T. Good sign right? ",GOOD,3:05:29 PM,Monday April 5 2021,Hapus
61,62,DapurEka,"Membalas : Ya invest di yg uptrend donk. Taro di downtrend ya menjerumuskan itu.
Pas awal masuk unvr masih ok pak di januari 2021",UNVR,3:02:34 PM,Monday April 5 2021,Hapus
62,63,Jafar Sim,"Sebelumnya saya pernah beli di 440 tapi sudah saya jual rugi dan lupakan , trus saya beli lagi di 422 tadi harusnya di harga 446 saya jual jadinya saya jualnya di 430 aja, takutnya besok dibawa main di 422-434 @JuthaBram waah terima kasih sudah dibantu pak  ","MAIN,TRUS",3:02:13 PM,Monday April 5 2021,Hapus
63,64,Ronny,"Membalas : Unvr tujuan awal memang untuk invest long term pak bukan buat trading
Iya pak. Buat long term saya jg ngomonginnya   ",UNVR,3:01:48 PM,Monday April 5 2021,Hapus
64,65,RBTAN59,"Membalas : ICBP PTBA PGAS masih murah2.
tp bukan berarti bisa cetak cuan om ","ICBP,PGAS,PTBA",3:01:33 PM,Monday April 5 2021,Hapus
65,66,DapurEka,"Membalas : Pbv nya unvr udah ketinggian. Susah buat naek lg. Alihin yg lain aja. Kondisi market begini jgn dilawan, makin trading malah mak
Unvr tujuan awal memang untuk invest long term pak bukan buat trading",UNVR,3:01:29 PM,Monday April 5 2021,Hapus
66,67,S farisi,"Membalas : Ihsg oohh ihsg saya tidak kuat mental, barusan saya CL dmmx di 430
avg brp yg pak? saham tahan badai itu",DMMX,2:59:48 PM,Monday April 5 2021,Hapus
67,68,Eru Yagami,ICBP PTBA PGAS masih murah2.,"ICBP,PGAS,PTBA",2:58:56 PM,Monday April 5 2021,Positif
68,69,Kirana L,"Membalas : Pbv nya unvr udah ketinggian. Susah buat naek lg. Alihin yg lain aja. Kondisi market begini jgn dilawan, makin trading malah mak
Dia ingin invest pak ckup diberikan pertimbangan mungkin banyak aspek yg masi beliau belum pertimbangkab",UNVR,2:58:22 PM,Monday April 5 2021,Hapus
69,70,Ronny,"Membalas : Iya saya juga sempat baca, jika mau invest harus pilih saham, untuk apa invest jangka panjang jika profit yg didapat tidak seban
Pbv nya unvr udah ketinggian. Susah buat naek lg. Alihin yg lain aja.
Kondisi market begini jgn dilawan, makin trading malah makin boncos nanti","BACA,UNVR",2:57:28 PM,Monday April 5 2021,Negatif
70,71,DapurEka,"Membalas : tidak selalu pak,cuman memang jika blue chip mungkin kekhawatiran sedikit berkurang meskipun belum tentu ya pak...lihat aja saha
Iya saya juga sempat baca, jika mau invest harus pilih saham, untuk apa invest jangka panjang jika profit yg didapat tidak sebanding. Tapi balik ke awal pak waktu saya join di saham saya dpt rekom unvr itu dari kawan yg menjelaskan ttg unvr saham yg baik & layak untuk di invest, karena produknya banyak dipergunakan. Tapi nyatanya saat ini kondisi berbeda. Tapj yg saya baca juga saat awal corona unvr ini salah satu saham yg cukup kuat disaat saham lain anjlok. Jd jika saat ini turun itu suatu kewajaran. Hehe itu yg saya baca baca yaa","BACA,BLUE,SATU,UNVR",2:56:22 PM,Monday April 5 2021,Bingung
71,72,Vincent,"Membalas : Cent gmama cent
Saya ga kenapa kenapa kak  ",CENT,2:56:07 PM,Monday April 5 2021,Hapus
72,73,Puspita Wardani,"Membalas : Cent gmama cent
Biarkan dy konsolidasi dulu menuju 260   baru ngegas lg  ",CENT,2:56:00 PM,Monday April 5 2021,Netral
73,74,Vivi Sari,Cent gmama cent,CENT,2:55:30 PM,Monday April 5 2021,Hapus
74,75,Jafar Sim,"Ihsg oohh ihsg saya tidak kuat mental, barusan saya CL dmmx di 430",DMMX,2:52:55 PM,Monday April 5 2021,Negatif
75,76,Dave Sa'id,"LPPF kalau berhasil break ema50
Ini adalah foto",LPPF,2:52:12 PM,Monday April 5 2021,Positif
76,77,DapurEka,"Membalas : BJBR BJTM menurut sya layak d hold, bentar lagi juga RUPS semoga ada kabar baik. Tetap semangat semoga segera membaik porto
Aamiin thanks vroh 
Membalas : Justru saya ga masalah dengan tins... saya hanya melihat waktu yang dibutuhkan saham utk recovery.... Skrang mau blue chip red
Iya semua kena impactnya, skrg juga gantian saham konstruksi yg anjlok","BJBR,BJTM,BLUE,TINS",2:49:20 PM,Monday April 5 2021,Hapus
77,78,DapurEka,"Membalas : maaf om, kalau mau pasang stop loss, idealnya berapa ya? berapa %?
Nah iya nih sebaiknya kita pasang SL yg baik itu di range minus brp % ya?
Membalas : Bjbr, bjtm kalau mau invest oke Pak.. Dlu sy juga nyangkut waktu crash dan bs balik + dividen yg lumayan.. Utk unvr cons good sy
Iya saya masuk unvr itu juga rekom dari kawan karena FA nya kebelakang baik, tp entah kenapa ini unvr malah menurun
Wah ada yg mirip portonya, setidaknya ada kawan, Aamiin semoga segera ada surprise yg baik, karena surprise buruk tiap hari liat porto udah nyesek","BJBR,BJTM,GOOD,UNVR",2:45:01 PM,Monday April 5 2021,Bingung
78,79,Bhagas,"Membalas : Tidak ada yg tau nasib kedepan seperti apa, saya pun juga tidak tau bagaimana dunia persahaman karena baru join 2021, maka dari
tidak selalu pak,cuman memang jika blue chip mungkin kekhawatiran sedikit berkurang meskipun belum tentu ya pak...lihat aja saham unvr 5-6  taun lalu dan sekarang,harganya dikisaran yang sama

better didepan ditentukan di saham trade atau invest,kalo perlu dipisah akun pak ","BLUE,UNVR",2:44:45 PM,Monday April 5 2021,Bingung
79,80,DapurEka,"Membalas : Buat belajar aja dulu pak, sambil di pantau hariannya pak krn nggak ads yg bener bener tau market kedepannya seperti apa. Semoga
Aamiin saya berharap semoga ihsg segera membaik, karena nyesek juga baru main saham sudah minus bannyak, karena minus ini jd saya belajar juga itu ttg avg down & shorting",MAIN,2:43:50 PM,Monday April 5 2021,Bingung
80,81,Chai Lie,"Membalas : Punya TINS avg brp bu?
1.703",TINS,2:43:45 PM,Monday April 5 2021,Hapus
81,82,Jay Jay,"Membalas : BJBR -3,6%, BJTM -9,1%, DMAS -5,6%, ESSA -4,1%, HMSP -9,2%, JSMR -8,6%, SSIA -10,4%, TINS -22%, UNVR -12,4% apakah saham yg say
balik lg ke tujuan beli aja. klo kamu tanya disini pasti dikasi view sebagai trader. nah kamu beli utk swing trade atau invest. keduanya berbeda. jgn krn uda sangkut jd invest","BJBR,BJTM,DMAS,ESSA,HMSP,JSMR,SSIA,TINS,UNVR",2:42:21 PM,Monday April 5 2021,Hapus
82,83,DapurEka,"Membalas : Total modalnya sudah berkurang brp % skrg?
80% pak
Membalas : Tins lapkeu jelek, yg punya hati2, lapkeu jelek pada diturunin
Jika lapkeu jelek diturunin, apakah akan ada kemungkinan naik lagi? Karena jika saya perhatikan trio nickle antm inco tins jika ada berita positif signifikan sekali untuk naik","ANTM,INCO,TINS,TRIO",2:40:52 PM,Monday April 5 2021,Bingung
83,84,Kirana L,"Membalas : Tidak ada yg tau nasib kedepan seperti apa, saya pun juga tidak tau bagaimana dunia persahaman karena baru join 2021, maka dari
Justru saya ga masalah dengan tins... saya hanya melihat waktu yang dibutuhkan saham utk recovery....

Skrang mau blue chip red chip itu sangat bergantung kpada bandar bpk   ","BLUE,TINS",2:40:25 PM,Monday April 5 2021,Hapus
84,85,DapurEka,"Membalas : Saya jg sama bu, masih newbie, dan msh hold TINS jg walau dah minus, cm berharap market bs membaik lg bbrp hari ke depan, sepert
Punya TINS avg brp bu?",TINS,2:39:50 PM,Monday April 5 2021,Hapus
85,86,Herman S,"Membalas : BJBR -3,6%, BJTM -9,1%, DMAS -5,6%, ESSA -4,1%, HMSP -9,2%, JSMR -8,6%, SSIA -10,4%, TINS -22%, UNVR -12,4% apakah saham yg say
BJBR BJTM menurut sya layak d hold, bentar lagi juga RUPS semoga ada kabar baik. Tetap semangat   semoga segera membaik porto nya.","BJBR,BJTM,DMAS,ESSA,HMSP,JSMR,SSIA,TINS,UNVR",2:39:25 PM,Monday April 5 2021,Netral
86,87,DapurEka,"Membalas : Waduh @DapurEka saya berharap kondisi cepat pulih Tp menurut sya kalo seandainya worst case butuh waktu 2 tahun utk balikin mod
Tidak ada yg tau nasib kedepan seperti apa, saya pun juga tidak tau bagaimana dunia persahaman karena baru join 2021, maka dari itu saya bertanya adakah masukan dari para senior di dunia persahaman jika menggunakan uang dingin + memiliki saham yg minusnya sudah dalam, apakah untuk dijadikan investasi jangka panjang akan baik

Untuk UNVR sendiri meski minus sudah dalam memang tidak ada pikiran untuk CL, karena saham bluechip jadi lebih aman untuk investasi jangka panjang. Hanya saja saya khawatir dengan TINS","AMAN,TINS,UANG,UNVR",2:38:49 PM,Monday April 5 2021,Negatif
87,88,rahmad,apa itu pak news ESSA? ,ESSA,2:37:22 PM,Monday April 5 2021,Hapus
88,89,Kris,"Bjbr, bjtm kalau mau invest oke Pak.. Dlu sy juga nyangkut waktu crash dan bs balik + dividen yg lumayan.. Utk unvr cons good sy lbh oke SIDO.. hmsp ini yg berat.. Maybe kalau ada perubahan uandang2 ttg cukai rokok ada titik terang nya.. Sisa nya gak bs komen pak, krn blm pernah","BJBR,BJTM,GOOD,HMSP,SIDO,UNVR",2:36:50 PM,Monday April 5 2021,Positif
89,90,Petro,"Tins lapkeu jelek, yg punya hati2, lapkeu jelek pada diturunin",TINS,2:34:22 PM,Monday April 5 2021,Negatif
90,91,Chai Lie,"Membalas : Swing trade & invest pak, cuma saya khawatir saham yg saya hold saham yg salah, jd saya butuh masukan, karena saya baru join sah
Saya jg sama bu, masih newbie, dan msh hold TINS jg walau dah minus, cm berharap market bs membaik lg bbrp hari ke depan, seperti insight dari pak jutha.",TINS,2:33:15 PM,Monday April 5 2021,Bingung
