Normal,Status
balas break volume masuk optimal entry ya spekulasi cicil dekat maw nya iya posisi nya market turun kakak beda cari pivot entry saham uptrend flat base cnh rounding,Positif
balas foto haha hasil cuan balikin usaha ya pakde,Positif
lanjut pamit belanja,Positif
minggu ara wajib pantau berita media,Positif
balas berkat guru guru benhan semenjak guru sharing alam dapat untung cuan salah take profit praktek modal grow,Positif
balas mantap set stoploss cutloss profit,Positif
balas foto beli analisa,Positif
habis cl saham cari ganti posisi triangle eh bo average down saham naik akumulasi asing hehe kadang kedistract akumulasi asing versus support resis,Positif
balas ragu rakhmad uptren topik pagi average down average ragu bu senin average down harga naik duluan,Positif
balas case lanjur mantap turun cl beli average up kamis bottom bentuk hammer hijau volume bagus masuk,Positif
uptren,Positif
balas average nya segitu harga closing kemarin average down mending tunggu konfirmasi naik average up,Positif
pagi tt average down sd foto,Positif
average down capai toleransi cutloss ya ok pas koreksi ri kemarin pas koreksi average down ok turun reversal trend,Positif
rocket,Positif
ayo mumpung libur wisata taman fresh senin,Positif
balas baca alam suhu kaca alam pribadi rule nomor trading pasang stop loss tuju kakak pasang stop loss tiap posisi upgrade to trailing stop take profit take profit nya stop loss lihat account grow,Positif
lirik,Positif
teman covid maret potensi loss habis balik profit angkat jempol nya maret ya,Positif
balas nya pantau bu lihat bagus tunggu konfirmasi koreksi salah kemarin masuk kak bentuk mjolnir hijau volume bagus thank you remindernya eko bawono wujud cup nya cantik,Positif
beli buy tutup angka lancar sapa tau foto foto,Positif
balas foto nya pantau bu lihat bagus tunggu konfirmasi koreksi salah,Positif
ijin bagi analisa buyer pasuk arena tahan bawah fibonacci area sell signal guru eko besok lanjut naik turun dekat manya ma colek ngegas tunggu area ma foto,Positif
balas foto history garis hitam potensi break weakly cantik candle nya,Positif
balas foto naik volume buy on weakness jalan lewat resistnya by body,Positif
tes garis support hijau hasil tahan support cicil beli break garis hitam average up,Positif
tt nya jebol resistance ath nih,Positif
terimakasih view nya indeks moga juni cuan njedog,Positif
tt ara grup jutha hahha,Positif
balas tau mute asix dengar masak grup saham kode saham ya minggu,Positif
goreng,Positif
balas haka muka beser haka kemarin,Positif
balas haka haka muka beser,Positif
balas yup swing low confirmed moga april last chance to buy before start to tes april mei moga yiha musim tanam kemarin,Positif
balas resmi suhu terima kasih bantu forecast nya yup swing low confirmed moga april last chance to buy before start to tes april mei,Positif
cakep ya,Positif
balas tp ritel ngikut lumayan serok cuan,Positif
balas htf nya ya konfirmasi senin harga naik volume,Positif
ihsg hijau gin ramai ya gilir merah diam,Positif
gerak,Positif
balas pasti lamar jabat level management ya msop esop mesop employee,Positif
balas sadar maret pasang gtc sadar siang heran tembus yes ihns shoulder bikin base nya,Positif
balas wahaha abaru minggu gerah nih sadar maret pasang gtc sadar siang heran tembus ihns,Positif
ihsg rocket rocket rocket rocket rocket,Positif
balas yeay ihsg tembus,Positif
yeay ihsg tembus,Positif
balas salah tumpah piring sold barusan kena,Positif
jaya is back,Positif
kenyang airplane airplane airplane airplane,Positif
balas ampun rem blong moga ara kasi sangkut untung buru tp,Positif
ampun rem blong,Positif
balas sadis ya om related pat wal police car iya private equity yah gitu kerja nya beli usaha babak bur cantik jual investasi sangkut akuisisi buma harga salah,Positif
banking rally sip ihsg tahan,Positif
serok arb kakak rocket rocket,Positif
balas ingat saham om tau cerita kd go private durian runtuh saham northstar untung habis placement michelin saham nya northstar aktif,Positif
balas lihat produk nya si go private minim usaha go private pandemi gin bu iya cerita kaya saham jaga ketat bocor halus,Positif
sih ya lebih nih dilebihin,Positif
kali lipat guys beli maret xixixi,Positif
balas enak beli rp perak harga pasar xx cuan mesop ya,Positif
balas sih pasti lumayan goreng an lipat lipat yah om,Positif
enak beli rp perak harga pasar xx cuan,Positif
balas asing beli ri sih pintar beli nya harga disc an harga pasar smart karyawan kasih beli harga disc an harga pasar ya cuan langsung dokumen nya lock up,Positif
asing beli ri sih pintar beli nya harga disc an harga pasar smart,Positif
balas kemarin beli bilang sih pasti lumayan goreng an lipat,Positif
ihsg dari tadi naik koreksi sebentar bentar bawa turun ya lumayan,Positif
balas segi om saing harga saham bisnis bisnis akuisisi gojek tau customer guna gojek indonesia,Positif
balas takut mg jarang nongol nongol naik,Positif
balas kemarin beli bilang masuk msci harga jaga sevolatile,Positif
balas beli pbv update equity nya right issue pbv kit beli goreng harap goreng,Positif
balas beli pbv update equity nya right issue pbv kit kemarin beli bilang,Positif
balas jarang tahun emiten growth cepat all leading to momen gojek ipo tarik chartnya erti saham perak banting cepat balas tuju saing nya segi om saing harga saham bisnis,Positif
coba digital pakai peg om pe eps growth balas telat tau tau orang kemarin naik harga beli jual tp sempet fomo tp gpp average do om,Positif
balas lirik om telat tau tau orang kemarin naik harga beli jual tp sempet fomo tp gpp average down lumayan pas harga,Positif
pantau all the haha pandang oke,Positif
jarang tahun emiten growth cepat all leading to momen gojek ipo blueprintnya eksekusi right issuenya sempurna sayang lewat dalam north boxes ticked,Positif
beli pbv update equity nya right issue pbv masuk kategori buku iii right issue equitynya capai masuk buku iv kira capai,Positif
haka mg masuk average kerek naik,Positif
aduh average msk pagi cuan salah kamar ya,Positif
balas haha ya buto hijau cerah moga sangkut kemarin average down biar tinggi,Positif
pas ya kerek presscon battery holding market maker,Positif
april prospektus tp harga,Positif
balas ngedoain tawar ala mudah balik malaikat ara,Positif
tp,Positif
balas suhu master aho spesialist suhu master intel khong guan saham hijau lihat ticker peace ya salam cuan,Positif
balas nyambung direply orang naik maklum efforia,Positif
balas haka ya haka congrats cuan ya,Positif
balas naik om isu isu distribusi salah vaksin salah naik kencang,Positif
balas naik om isu aduh tau ri tp jadwal prediksi sih balas naik om isu catat tutupnaik senin selasa ara,Positif
balas ak serok prospek,Positif
ak serok,Positif
balas foto saham salah prediksi hs naik,Positif
balas kakak cumdate nya to rti ma stockbit beda rti bom update kayak cumdate tanggal kemarin,Positif
balas dosa jual aduh untung ong terbang an pakai jet pribadi balas bahagia serok malam sore om haha serok,Positif
suara balas bahagia yah antam naik sangkut,Positif
balas biar teknikal haha mantap jebol resist kah kah,Positif
ara nih,Positif
sangkut bayar lunas hati tenang minus terima kasih sopir,Positif
rocket,Positif
tahan sesi strong,Positif
harga nikel timah hijau tebal,Positif
balas target habis gby my love cuan kotos kotos,Positif
balas aho spesialist mohon kasih masuk iya target habis gby my love,Positif
ihsg moga tahan sana,Positif
bikin higher high ya sangkut,Positif
balas ara rocket tik tok kakak,Positif
ara rocket,Positif
mantap ayo masuk tinggal,Positif
balas tulis suhu master billy curiga tulis nya orang kali ketemu cici guru grogi salfok aja,Positif
balas ramai khusus orang sabar haha koh billy muncul komentar selling point nilai plus,Positif
nya nya potensi htf,Positif
balas nya nih kak calon htf tarik tp entry saran ya nunggu htfnya confirm,Positif
ara,Positif
balas ok htf base nya kuat apa gagal confirm pattern volume iya htf naik komentar kak kemarin semangat biar htf,Positif
haka,Positif
balas foto ara biar jebol resisten nya biar htf kak,Positif
balas volume mesti today konsolidasi volume rendah senin roket volume pasang buy all in nih stress,Positif
balas biar senyap oh iya ya oke deh ayo ayo feeling closing serok ayo ayo,Positif
dorong ihsg,Positif
mantap nih,Positif
balas capt phillips kaya insight saham naik ya,Positif
balas should be wise at the current condition of the market mean meenermini just wrote single notice that may be only cek twitternya minervini bu bilang stupid cl habis saham terbang kelas minervini gain porto ytd alami,Positif
balas berita berita positif keluar salah emiten tanda akumulasi insider tp undang ritel beli,Positif
reminder ya hijau ihsg roket to the moon hijau senin merah hati hati euforia dapat,Positif
balas foto peluang hijau om coba tes crash kemarin lusa pas ultah bottom ihsg candlenya persis pas ultah bottom tahan history repeat itself besok hijau,Positif
balas breaking putus bagi rp triliun laba bersih dividen newsnya an ya,Positif
balas binary option binomo grup neka kerja chart sistem deposit with binomo illegal,Negatif
balas binary option binomo grup neka kerja chart sistem deposit with traffic data chart main profit trader loss ya trader main slippage requote,Negatif
balas binary option binomo grup neka kerja chart sistem deposit with cepat miskin om,Negatif
ok terima kasih binary option binomo grup neka kerja chart sistem deposit withdraw web nya kabar blokir situs kominfo terima kasih,Negatif
balas fix besok merah ihsg kak jakarta jakarta merah,Negatif
balas fix besok merah ihsg kak,Negatif
balas inti sih risiko loss risiko cuan om cuan loss cari rapat minim kali om cuan hehe,Negatif
balas ideal sih modal trade yah cuan target modal trade overall modal kayak ngeri total om loss down tuh mental buku loss,Negatif
balas mohon dapat teman senior mula saham average down ketik gantung plan cemplung porsi jebol support bagus sl average down support,Negatif
balas iya jimmy bilang salah kunci trading hindar ramai bilang suhu ya ajar newbie pakai contoh ya gampang kamis minggu pasar pesimis bilang harga bandar bilang dsb ramai sisi pesimis jumat chart tutup kamis titik reversal amat alir akumulasi big player konsisten masuk tahap rencana umum ibh tau bulan tanggal dsb tanggal ramai sisi pesimis market balik arah tes market ramai moga paham ya tipis beda ya benang merah kaya lihat divergen trend kadang selip mata,Negatif
rules nya billy magnet foto,Negatif
balas gimanapun ritel tetap ritel istilah cuan jual bikin ritel kalah banda hedgefundnya rugi namum peperangan ritel kena sembelih,Negatif
balas foto iya senin takut jebol rilis lap keu ketiak,Negatif
balas pendek amat average down timbang saham liquid nali cermat guna konsep average down beli cicil emiten selesai cicil sistem piramida cicil kali alokasi total porto harga turun average cutloss beli alokasi porto harga turun cutloss konsep disiplin cutloss alokasi porto harga turun incar saham trend nya bullish cari saham,Negatif
balas wb bom nikmat cuan scalping kaya raya hehe lihat jalan wb loss berkshire nya salah gagal,Negatif
teman market sadar day trading zero sum game boncos orang cuan beda beli saham prospek bagus dividen eh minggu dividen wajar out saham bijak manajemen sesuai harap day trading masuk pagi sore jual jual cuan tp rugi cl,Negatif
arb sensi bayang arb,Negatif
balas tim tawar harga ala emak emak senang hu beli ara banting arb pakai margin aduh kaya gin haka saham running trade selesai market senggol bacok,Negatif
arb normal mas pasang ts persen kakak,Negatif
ideal nya arb normal tp ya arb goyang nya mantap,Negatif
balas ci rui maksud arb simetris ya noted bahas erti maksud arb simetris turun,Negatif
ihsg swing low ya turun senin orang haka nya masuk fase party juni,Negatif
contoh barusan jadi dirut tarik orang investor bijak bagus hubung orang masuk ubah bijak sinergis saham langsung drop lumayan,Negatif
balas mumpung hilang cari opsi ganti nya tuju hu ferry sih seram arnya simetris santai ah arb cl super ketat money management,Negatif
balas nih nama cut your loss and protect your profit berkat guru guru benhan semenjak guru sharing alam dapat cut your loss and protect your profit sederhana jaga modal aku salah ajar salah notes salah besar mana htf ts sl,Negatif
balas cutloss profit maksud pasang stoploss senin turun nih,Negatif
balas coba next trade never average down loss salah masuk ya cepat cari opportunity minervini average down just cut if you pakai wrong decision,Negatif
balas average ragu bu senin average down harga naik duluan pagi diskusi ama teman via pm bantah ama jelek cari second opini,Negatif
ragu rakhmad uptren topik pagi average down,Negatif
balas average down hasil break even modal butuh minggu nunggu reversalnya average down saham beli saham kode saham harga rendah harap naik harga breakevennya cutloss saham beli saham harap naik kode saham nya beda salah posisi average down pindah saham,Negatif
turun average down bottom,Negatif
paham resiko loss saham susah ambil putus cut loss,Negatif
putus pinjam kta lubang hitam mending natural wish me,Negatif
balas cut lost senin beli asyik biar join ngobrol ijin uang cutloss,Negatif
balas saham bingung rangkai ya cut lost senin beli asyik biar join ngobrol,Negatif
balas mending sih pinjam trading ketimbang margin margin margin call force sell pinjam loh pinjam nya pakai trading pakai margin,Negatif
balas saham arb hari haha,Negatif
balas anak forex ta nya kuat nih loss forex pahit lossnya ambles sisa leveragenya dashyat puluh ratus kali lipat margin ihsg,Negatif
balas back tes kenaikanorpenurunan ex date ss pptx kemarin senang yah,Negatif
intensi garis hitam sinyal jual by candle hebat gpl langsung naik sinyal sell baru muncul rabu kamis muncul hammer when to buy foto,Negatif
balas pas hm bahas passion tarik hehe gin arb saat arb market koreksi trader join pasang stoploss jamin arb persen saham liquid,Negatif
ascending base struktur harga volume bagus tarik gila khawatir foto foto,Negatif
balas yup swing low confirmed moga april last chance to buy before start to tes april mei ihsg an bottom nya jutha btw turun lap keu jelek jaga bandar,Negatif
aduh clra arb hari,Negatif
ngamuk,Negatif
bid palsu kuat nanjak,Negatif
balas langsung drop mudik maksud kadang analisa ilmu kena prank langsung koit,Negatif
langsung drop mudik,Negatif
balas ingat saham om tau cerita kd go private durian runtuh saham kali gagal go private nya harga seru,Negatif
balas ingat saham om tau cerita kd go private durian runtuh saham lihat produk nya si go private minim usaha go private pandemi gin bu,Negatif
balas ya tau mending jauh ingat saham om tau cerita kd go private durian runtuh saham,Negatif
balas bosowa dalam sama bosowa sangka tuh lepas saham pelan kemarin hilang porsi bosowa,Negatif
kejam right issue bert yglalu masuk kemarin langsung ara langsung arb sungguh,Negatif
balas miris lihat nya harga sisa ya jepang masuk angka an banting an kemarin corona haha,Negatif
balas lihat supirnya sih gampang lihat invest kasih contoh kb bukopin endal miris lihat nya harga sisa,Negatif
balas lihat supirnya sih gampang lihat invest kasih contoh kb bukopin endal bosowa dalam sama,Negatif
balas masuk msci kalem bandar ugalan takut satpam takut mg jarang nongol,Negatif
balas jarang tahun emiten growth cepat all leading to momen gojek ipo tp gerak curam naik cepat turun cepat,Negatif
balas arb masuk harga arb jantung takut kuat,Negatif
arb masuk harga,Negatif
balas sangkut dosa jual,Negatif
balas ara biar jebol resisten nya biar htf kak ok htf base nya kuat apa gagal confirm pattern volume delay minggu rocket rocket rocket,Negatif
menit open jual asing awal buruk ihsg,Negatif
ihsg sih sedih ghost,Negatif
balas bursa merah ihsg merah ihsg tampil koh merah ya merah senyum awal sakit,Negatif
balas bursa merah ihsg merah ihsg merah aplikasi protrader langsung bug lihat indeks,Negatif
balas bursa hijau ihsg merah bursa merah ihsg merah,Negatif
balas arb arb harga saham bagi ss rasio harga saham bagi lot milik kali exdate proses telah hitung valid,Negatif
balas exdate ss arb,Negatif
balas sell on news hancur si tia,Negatif
balas distribusi sih reakumulasi bikin flag selling klimaks volume turun kemarin rendah,Negatif
balas lintang jalan tol putar tanjung harap ribu tuh ikut tren digital sih ihsg stuck coba kapal digital stuck,Negatif
balas lanjut turun,Negatif
balas foto guru hold donk cz semenjak harga break ema an setia ema nya jual trend balik arah ema potong bawah ema,Netral
balas mohon dapat teman senior mula saham average down ketik cz tipe trend folowing salah entri hold cl candle close dibwh buyback avgdown harga sentuh mantap ema pasang sl dibwh ema,Netral
beli break mad maw tp pethakilan teknik entry bagus hold ya jual cuan andai hold,Netral
balas beli bu average sentuh cl pantau untung tahan mental beli area necklinenya,Netral
sering cutloss modal habis pakai dingin mending hold,Netral
balas foto besok lusa halt kak rui libur senin,Netral
komentar black crows kak black crows openingnya body harga tekan kali sudaha hammer dorong volume pribadi tunggu kisar foto,Netral
sabar tuh diam ngumpulin pas nyungsep bawah ihsg gerak gera,Netral
wiihh cakep moga hold cut loss,Netral
balas masuk msci harga jaga sevolatile sih tinggal tdr,Netral
alot ya,Netral
balas bursa merah ihsg merah bursa merah ihsg halt,Netral
area demand ngumpul in foto,Positif
balas foto alas naik naik multibagger fundamental bagus lompat laba ratus persen dukung jual naik dst,Positif
balas sales hehe road to moga semesta dukung,Positif
nya potensi bentuk cup and handle guru eko bawono ssp gagal minggu volume dukung dapat guru time frame foto,Positif
kuat ya,Positif
balas mayapada arb jilid pasca cum date ri pas sentimen mini terbang may market ri sukses bagus jaga lihat maret ri sempet goreng kencang lo an terbang kak,Positif
balas tuh beli kondisi gin arb ngetem ahaha ya ngetem hari untung goreng,Positif
balas volume angkat bandar ritel ya bandar angkat ara jilid bandar ritel question keluarin duit naik harga volume suhu kasih cerah,Positif
takut sih tuh kemarin gila,Positif
balas member sangkut om bahas pas naik omong sih iya sangkut,Positif
balas jebak saham arb hari baik maksud dahulu antri bandar opening pasang jual malam sisa doa moga beli,Positif
tt langsung ara,Positif
balas foto astaga jantung kuat arb ara,Positif
congrats era ara foto,Positif
sesi ara,Positif
candle volume candle candle volume nya ya ssp nya,Positif
tinggal kereta rocket rocket,Positif
balas sadar volume lumayan ya tanda harga turun volume beli naik,Positif
balas dividen final rp lembar adjustment kurang dividen interim rp desember sisa rp lembar cum wow naik tahan ya,Positif
dividen final rp lembar adjustment kurang dividen interim rp desember sisa rp lembar cum date april ex date april rec date april payment date april,Positif
balas pas fibonacci usaha clover beli harga jebol tarik,Positif
balas tarik,Positif
tarik,Positif
balas beli ya buy if break nya pas market jalan,Positif
balas naik ya naik turun dalam ngarep naik,Positif
ayo guys entry jual besok,Positif
balas naik ya beli ya,Positif
naik ya,Positif
balas clover universal milik centratama persen entitas anak northstar advisors pte ayo haka,Positif
gas,Positif
balas happy minggu bahas saham kira kali untung senang,Positif
balas break minggu confirm ssp haka member the traders,Positif
balas pakde hm break confirm ssp nunggu break ya average up break minggu confirm ssp minggu ini lupa baca ya missleading,Positif
balas ramai biaya keluar bandar rusak omong ardiyan break cicil all in tunggu candle konfirmasi jum at hitung weekly hubung jum at tanggal merah kamis,Positif
balas average up ya tau atur average up,Positif
balas pakde hm break confirm ssp nunggu break ya average up minggu ssp weekly daily konfirmasi ya kamis average up ya confirm alas ri urus,Positif
ramai ramai in iya aho,Positif
balas break minggu confirm ssp curi start duluan,Positif
balas ci masuk tawar ala emak an kak,Positif
balas break minggu confirm ssp mantap deh fullcash nunggu ssp nunggu kemarin,Positif
break minggu confirm ssp,Positif
balas gd haka,Positif
repo,Positif
meneer valid buy foto,Positif
seram pagar lot,Positif
balas nya ngegas gas in,Positif
nya ngegas,Positif
trading ya beli,Positif
balas rumor beli digital colony,Positif
dividen rp eeuuyyy foto,Positif
balas ri ya tanggal nya kah bom tanggal kerek sebentar tanggal ri nya,Positif
ciamik,Positif
caution is the buyer for tower heard buying at around usdmn this is very pricing as we are expecting at around usd tower sales value positive for as strengthens the balance sheet and ample of capital for future spectrum akusisi lelah announced their for ri targeting to issue bn shares,Positif
balas nya lupa bo kayak,Positif
usaha fase downtrend coba tembus level psikologis recommendation spec buy target price target price ii stop loss disclaimer credit idx foto,Positif
terbang ayo,Positif
haka,Positif
balas isu harga amonia naik ngegas,Positif
naik volume htf nya gagal ya,Positif
balas rebound si guys iya,Positif
balas bagus ya billy cukai batal,Positif
balas besok hijau tebal hijau transaksi ihsg hijau emiten bluechip dll bakar,Negatif
balas ihsg hijau transaksi miskin ya bandar rombong ziarah religi bandar dikrangkeng goreng,Negatif
ihsg hijau transaksi miskin ya bandar rombong ziarah religi,Negatif
balas road to moga semesta dukung sayang semesta dukung,Negatif
balas kunci arb kunci bandar balik lihat harga kaya ritel berani masuk kah,Negatif
balas foto kunci arb kunci bandar,Negatif
balas coba gagal jam buka langsung arb sangkut pasang harga arb kunci langsung lepas kunci sih ya buyernya,Negatif
balas yes coba gagal jam buka langsung arb sangkut,Negatif
sih,Negatif
balas market ri sukses bagus jaga lihat maret kacau total lot hari dagang lihat ri kemarin ex date kencang,Negatif
mayapada arb jilid pasca cum date ri pas sentimen mini terbang mayapada lihat kalem ikut terbang kisar an tuju ri ekspansi bisnis arb jilid sudah ya fl,Negatif
balas tutup bursa langsung masuk order sell harga arb besok hari doa bin harap baik hati jemput tuh beli kondisi gin arb ngetem ahaha,Negatif
balas member sangkut om bahas sangkut average untung buntung small portion terima kasih bei tidak ada acara suspend suspend sempet exit bantai,Negatif
balas olt order hari korban arb antri,Negatif
balas foto batas ara kabar ambil jual pucuk,Negatif
jebak saham arb hari baik maksud dahulu antri bandar,Negatif
balas arb jilid suspend maaf newbie bei mah cuek,Negatif
balas foto salah langkah bandar sadis arb kali puas,Negatif
kena drop pasang sell jam pasang besok an loss untung mm nya kaget,Negatif
balas supirnya keri guru hantam kasih ampun arb haha,Negatif
balas foto domestik tindak kompak arb saham ihsg lemah takut broker domestik akun asing,Negatif
rombong kcl korban cut loss,Negatif
balas pakde sektor pantau next week banking properti konstruksi bumn besok sangkut sangkut santai bandar habis distribusi tanggal tunggu angkat bahas biar diam naik saham bahas arb bandar bandar tebar grup hati,Negatif
sayang nya close ya,Negatif
beli antam profit beli hari terima kasih bandar ngehayal,Negatif
arb,Negatif
antim arb haha,Negatif
balas harga bagus haha cicil lot rugi turun,Negatif
ihsg merah goreng krispi,Negatif
tuh bosan lihat ihsg lesu,Negatif
sepi ihsg,Negatif
balas diam ayo biar senyap biar turun beli kasih turun bawah gamat,Negatif
balas situ area suportnya cmiiw diam ayo biar senyap biar turun beli,Negatif
kemarin terbang indeks beban indeks,Negatif
balas please arb kali,Negatif
balas foto sesal jual,Negatif
hk closing biar,Negatif
ihsg nyungsep,Negatif
berani jalanin swf bom,Negatif
balas nya untung sempet kemarin kemarin lihat ambles ironman haha,Negatif
nya untung sempet kemarin kemarin,Negatif
rugi benah berita restrukturisasi berita jual tol restrukturisasi himbara,Negatif
balas ya salah sih beli pucuk cutloss rugi and swf ngaruh cutloss,Negatif
ya salah sih beli pucuk cutloss rugi and swf ngaruh,Negatif
pakde sektor pantau next week banking properti konstruksi bumn besok dapag dukung momentum balik coal mining bullish konstruksi break jutha turun abise ak jual kah loss gila an,Negatif
ihsg hijau sepi iya lemah lesu,Negatif
balas pantau tp,Negatif
balas saham latih trading saham cocok poin tp poin tp tp haha om family xlo habis rally point loyo pas cap celup,Negatif
minta mudah mampir ya,Negatif
balas pasang om tp ckkckckck,Negatif
balas naik volume htf nya gagal ya minggu breakout htf gaga,Negatif
tau downtrend suport dekat mana ya,Negatif
balas sabotase bencana,Negatif
balas lha kemarin janji bu nana terima kasih meneer rumah besok pagi detail selamat malam istirahat,Negatif
contoh saham lurus tau tau ledak suka lkh eniwe konsol an salah foto,Netral
balas takut sih tuh kemarin gila takut masuk tunggu kondusif,Netral
balas sayang nya close ya buru endingnya cakep kamis besok,Netral
balas ngikutin masuk menuhin fee broker biar timenya gratis ya sesuai trading hold centnya ajar momentum hilang tahaaaannnnn,Netral
balas tetep dalam masuk lebih kurang tergtg psikologi orang cocok an ma dalam andal ts tp nya bikin jarum suntik cocok masuk jual ambil,Positif
balas rups laksana right issue tanggal mar mana jadwal laksana tunda ah volume,Positif
balas kawal bareng ayo bareng semesta bilang,Positif
balas see digital colony bilang milik ya om thankyou info digital colony akuisisi right issue standby buyernya,Positif
balas jawab see digital colony bilang milik ya om thankyou info,Positif
hidup benhan hidup,Positif
balas haka jam news,Positif
balas foto haka,Positif
balas foto tanggal tnggu narik goceng enteng model kaya,Positif
guys pegang besok saham pecah nominal ya,Positif
nya diskon ya boend,Positif
balas patriotik kak merah darahkuuuu ma mba rui,Positif
balas qjd pas ihsg merah tarik hijau kakak wkwkwkwk,Positif
syukur hijau,Positif
napa om broker saham bandar pungutin foto,Positif
ayo ribon yokk,Positif
ngamuk,Positif
balas lq fundamental oke dividen tunggu naik,Positif
ambroll nih hajar,Positif
kuat ma mantap,Positif
awassss siapp terbang,Positif
balas asik serok hu billy tunggu emiten nya hu billy pengaruh badai,Positif
get ready,Positif
moga hijau besok ss,Positif
ara guys ya,Positif
bangkit kubur,Positif
balas yuhu naik ya,Positif
balas ya kadung nyemplung balas fomo ya suhu hauw pas up gin cuan cepat tunggu pas koreksi moment distribusi,Positif
balas rups laksana right issue tanggal mar mana jadwal laksana tunda area buy,Positif
balas nya alibaba loh rups laksana right issue tanggal mar mana jadwal laksana tunda,Positif
sentimen bandar beramain,Positif
balas syarat break tahan bawah,Positif
the digital raksasa unicorn,Positif
ok,Positif
bagus masuk tp jngn bagus tunggu candle biru prosentase saham harga,Positif
balas ide emiten tarik bang wkwkwkwk,Positif
weekly harga ma weeks ma weeks ema weeks usaha jebol ma masuk setup nya ko billy nih foto,Positif
next watch ya,Positif
ara,Positif
nikel nikel stay base strong cantik,Positif
gass,Positif
teknikalnya area dan serok ragu,Positif
nyolek,Positif
balas guyur rf klu ft kak harga sllu jaga,Positif
balas naik ayo full muat jaga banting naik haha,Positif
naik ayo full muat,Positif
serok kenyang,Positif
start rups ri,Positif
balas tp gara gw karya gan lincah gera bullish,Positif
tp gara,Positif
cumdate ss ramai,Positif
rebound,Positif
bkn pagi pagi happy,Positif
yp masang pager abg,Positif
kencang ya,Positif
balas candaaaa apusss rebound hijau,Positif
cum ri ya,Positif
area demand ngumpul in foto,Positif
asing bulan jaga bpjs ya ngeri asing bpjs untung,Negatif
balas atur nya lengkap perihal batas milik emiten dll bpjs silah inti mudah jual terima kasih sharingnya om ngeri efek fear nya sih kadang asli efek gosip mbikin runtuh duluan archegos,Negatif
balas hati guys jagan bunuh masuk neraka balas dalam andal ts tp nya bikin jarum suntik cocok tp prsktek susah brner klik kadang pas jual hrg mlh tunggu turun masuk turun,Negatif
cl kena loss,Negatif
foto sentimen negatif,Negatif
balas fix besok arb kontruksi iya nya kendala kerja bayak tender kontruksi nya moncernya dapat kumpul kejar target nya,Negatif
balas besok fik ihsg hijau fix besok arb,Negatif
balas kampret cnbc fear disebarr besok tau berita bagus muncul,Negatif
kabar ya arb kah,Negatif
balas bursa efek bumn dibohongin swf,Negatif
balas kak gimna nih prospek antam antem,Negatif
balas fundamental oke dividen tunggu naik rugi dividen haha,Negatif
balas closing merah sih sptinya parah tuh bandar kasar main sulit tp andaikata dimerahin sasar,Negatif
closing merah sih sptinya parah tuh bandar kasar main,Negatif
lihat tuh kesi mati nahan indeks woyyy tolongin napa,Negatif
besok buang asing giring opini ihsg bawah,Negatif
wahaha ngamati ngeri hati ginian angka bidnya palsu ribu dianjlokin hilang,Negatif
doa spy arb,Negatif
arb support,Negatif
runtuh ya supportnya,Negatif
balas besok me ambles,Negatif
kenal sangkut saham minibank penting ya sedekah zakat risk banding expected return deviasi saham minibank kisar main kelompok orang institusi pegang dana salam profit,Negatif
terjun bebas,Negatif
balas div yah banting tutup gep,Negatif
div yah banting,Negatif
ri nya simpang siur soalnyaz hmetd nongol,Negatif
kemarin persen cl coz ngk kuat psikis lihat nih sangkut nih saham turun arb ngeri pegang,Negatif
