,Pesan,Status
14,"Membalas : Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampa
Betul pasti pullback krn bbtn baru break ath 2020 jan kemarin. Tapi masih akan naik lagi mengikuti kinerjanya. Ini berlaku buat saham2 lain jg yg punya kinerja positif",Positif
15,CENT nya potensi SSP dong ,Positif
16,"Membalas : Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bung
Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampai target 2000 kits tinggsl bener 2100 lebh lgs amblas bgt gak bagi deviden krn kbr bagus dan gak ngaruh banget ke saham sori ini pribadi bisa beda2 analisa gak kelar2     ",Positif
17,"Membalas : Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org
Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi  ",Positif
18,"#JPFA,  potensi bikin HnS
Ini adalah foto",Positif
19,"Membalas : Wah terimakasih insightnya Pak... Jadi garis ungu itu batas CL kalau entry skrg di 1005 ya?
Grs ungu sinyal buy dr candle",Positif
20,"Membalas : Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya
Iya ini waktu posisi nya market baru mau turn bull kang.. Skrg kan beda lg.. Skrg cari pivot entry ketika Saham2 yg lg otw uptrend.. Bisa flat base.. Bisa cnh atau rounding",Positif
21,"Membalas : Photo
wkwkwkwkwkkwk hasil cuan MPPA d balikin lg k perusahaannya ya pakde",Positif
22,Lanjutkan. Pamit dulu waktunya belanja ke MPPA....  ,Positif
23,ANTM minggu depan ARA wajib pantau beritanya baru di buat media    ,Positif
24,"Membalas : berkat guru-guru disini pak benhan   semenjak para guru disini sharing pengalaman, saya berpendapat tidak perlu waktu lama untu
Kalo udah cuan 10% gak ada salahnya take profit.

Kalo dipraktekkan 10x aja modal udah grow 100%",Positif
25,"Membalas : Mantap, set stoploss di berapa skrg DOID
engga cutloss jadinya pak, malahan jadi profit  ",Positif
26,"Membalas : Photo
Kalau lewat 1040, saya beli. Sama kayak analisa @sitotom tadi
",Positif
27,"Saya hbs CL bbrp saham , makanya cari ganti , posisi triangle eh blm bo malah avrg down tapi malah saham tsb naik lagi dgn akumulasi asing hehe kadang kedistract antara akum asing vs support resis",Positif
28,"Membalas : Saya lagi ragu pak Rakhmad, krn uda tinggi tapi masi uptren dan topik pagi ini Adalah avrg down
Kalau benar avg Anda 1020, ga perlu ragu Bu. Saya rasa Senin ini ga akan sempat avg down karena harganya dah naik duluan ",Positif
29,"Membalas : ini pada case saat terlanjur dalam https://www.tradingview.com/x/bvz254Wp/
Mantap ini!!     

Kalau saya sendiri waktu CENT turun k bawah 250 saya CL krn beli avg up jdnya dpt di 262
Kamis setelah bottom lalu membentuk hammer hijau dg volume bagus baru saya masuk lg, di 250 juga",Positif
30,Smra masi uptren,Positif
31,"Membalas : 1020
Kalau avg nya segitu, harga closing kemarin 1005, kenapa avg down? Mending tunggu dia konfirm naik baru avg up",Positif
32,"Pagi TT , apa ini saat yg tepat buat avrg down smra ? Di 1000 sd 950?
Ini adalah foto",Positif
33,"Tentunya average down saat belum capai toleransi cutloss ya masih OK. Misalnya SAME pas koreksi sebelum RI dan kemarin2 CENT pas koreksi dikit saya avg down masih OK, karena cuma turun sedikit belum reversal trend",Positif
34,ISAT :rocket:,Positif
35,Yukss mumpung hari libur qt wisata ke taman AGRO agar fress hari senin,Positif
36,"Membalas : Membaca pengalaman suhu2 di sini dan berkaca dari pengalaman pribadi, rule nomor 1 trading itu memang PASANG STOP LOSS! Bahkan G
Setuju kakak... pasang stop loss ditiap posisi. Upgrade to trailing stop buat take profit.

Karena take profit itu juga sama penting nya dengan stop loss. Supaya bisa lihat account kita grow atau tidak.",Positif
37,akra pak bisa dilirik,Positif
38,"Temen disini waktu covid bulan Maret ada yg potensi loss sampai 70% tapi habis skg sdh berbalik profit hampir 100%..klau ada angkat jempol nya   
Maret 20 ya bukan yg skg",Positif
39,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
CENT kebetulan kemarin sudah masuk kak begitu dia ngebentuk mjolnir hijau dengan volume bagus, thank you remindernya   

Eko Bawono Aminnn pak, kalau itu sampai terwujud        cup nya cantik banget soalnya  ",Positif
40,"Kl sy mau beli same, buy jk tutup di atas angka2 di atas. Kl lancar, sapa tau akan  
Ini adalah foto
Ini adalah foto",Positif
41,"Membalas : Photo
CENT nya dipantau bu 

Saya liat bagus tunggu konfirm
Koreksi kalau salah",Positif
42,"Ijin berbagi analisa juga, hari ini SAME menunjukkan buyer kembali memasuki arena namun tertahan dibawah fibo 0.5 atau area sell signal dari Pak Guru Eko
Apakah besok akan berlanjut kenaikannya, atau akan kembali turun untuk mendekati MA20nya, karena selama ini MA20 selalu dicolek dulu sebelum ngegas  

Saya akan menunggu di area MA20 tersebut
Ini adalah foto",Positif
43,"Membalas : Photo
Kl diliat dr history gris hitam sblmnya ad potensi break keatas pak.. dlm weakly lbh cantik candle nya..",Positif
44,"Membalas : Photo
jika lanjut naik dengan volume menurut saya >458, jika buy on weakness 416 *untuk perjalanan ke 500 harus melewati resistnya di 474 (by body)
",Positif
45,"Kalau saya, yakin akan retest ke garis support hijau dulu. Klo berhasil bertahan di atas support, mungkin saya cicil beli, klo dia break garis hitam baru saya avg up",Positif
46,"TT nya udah jebol resistance, menuju ATH nih ",Positif
47,Terimakasih juga pak @JuthaBram  view nya tentang indeks semoga juni bisa cuan njedog  ,Positif
48,TT Ara lagi banyak dari grupnya pak jutha hahha,Positif
49,"Membalas : Kagak tau padahal dah mute kan?
Asix juga dengar masak2 di grub saham mungkin ini kodenya saham icbp ya minggu depan.",Positif
50,Lg goreng Ikan mungkin  ,Positif
51,"Membalas : Yang haka antm tins inco mcas mukanya beseri2 pasti   
Saya Haka ESSA saja kemarin  
",Positif
52,"Membalas : ANTM TINS INCO MCAS HAKA
Yang haka antm tins inco mcas mukanya beseri2 pasti   
",Positif
53,"Membalas : Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...
Semoga bisa yiha2 lagi setelah musim tanam kmrn. Aamiin",Positif
54,"Membalas : Nah sekarang sudah resmi suhu @JuthaBram. Terima kasih bantuan forecast-nya...
Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...",Positif
55,cakep ya antm,Positif
56,"Membalas : Mau tp ritail gak ngikut  
lumayan yang serok tadi cuan 3%  ",Positif
57,"Membalas : Jadi pola htf nya pak ?
Harusnya jadi ya, konfirmasinya senin kalau harga naik tinggi dengan  volume tinggi juga,",Positif
58,Ihsg hijau gini ramai ya giliran merah diam semua   ,Positif
59,Kija mulai gerak,Positif
60,"Membalas : Pastikan lamar jabatan level Management ya Pak...karena itu MSOP bukan ESOP
AGRO MESOP pak, employee dapet juga.. ",Positif
61,"Membalas : saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah tapi kalo tembu
yes, ihns besar banget... masing2 shoulder 3 bulan bikin base-nya.",Positif
62,"Membalas : wahaha.. lama bat. say abaru seminggu juga udah mulai gerah nih.
saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah   
tapi kalo tembus >630 memungkinkan buat ihns itu",Positif
63,ihsg 7000 :rocket::rocket::rocket::rocket::rocket: ,Positif
64,"Membalas : Yeay IHSG tembus 6180
   ",Positif
65,Yeay IHSG tembus 6180,Positif
66,"Membalas : Jgn salah yg tumpah piringnya byk  
sold barusan kena tins",Positif
67,masa2 kejayaan antm is back  ,Positif
68,kenyang dah dari tins antm inco hari ini :airplane::airplane::airplane::airplane:,Positif
69,"Membalas : ampun antm remnya blong  
Semoga ara kasian yg nyangkut byk inget klo udh untung buru2 Tp",Positif
70,ampun antm remnya blong  ,Positif
71,"Membalas : Sadis ya om, yg related sama pat.wal. :police_car:
iya private equity yah gt kerjaan nya beli perusahaan yg babak belur di benerin ud cantik baru jual   . investasinya yg nyangkut kyknya di DOID waktu akuisisi BUMA di harga 1145 gak salah",Positif
72,Banking uda rally. Sip ihsg ketahab,Positif
73,DGNS serok arb ngab :rocket::rocket:,Positif
74,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
northstar untung byk abis placement masa ke michelin sejak itu saham""nya northstar pada aktif",Positif
75,"Membalas : Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU
Yak betul, cerita kaya saham MASA pasti dijaga ketat juga ga bole bocor alus",Positif
76,Saya sih yakin cent bakal ke 300 lebh ..ya...masalh lebhnya nih kira2 dilebihin 100 200 atau 2000       ,Positif
77,Udh 5 kali lipat itu gais kalo beli di maret tahun lalu xixixi,Positif
78,"Membalas : Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar
sm kayak bjtm ini mesop2 ya",Positif
79,"Membalas : Ini sih bukan saya pastinya    Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun
cent mgkn bisa jg 3x lipet yah Om   ",Positif
80,Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar,Positif
81,"Membalas : Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....
Ini spt karyawan AGRO dikasih beli harga disc 70%an dari harga pasar ya pasti mau kan chuan lsg, apalagi di dokumen nya gak ada kata2 lock up",Positif
82,"Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....",Positif
83,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
Ini sih bukan saya pastinya   
Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun",Positif
84,Nah ini. Ihsg drtd naik terus. Koreksi bentaran. Ntar kl dibawa turun ya lumayan jg.,Positif
85,"Membalas : dari segi mana om saingan bbca? harga saham? atau bisnisnya?
Bisnisnya dong, akuisisi oleh gojek dan kita tau customer / pengguna gojek brp banyak di seluruh Indonesia",Positif
86,"Membalas : uda takut. MG aja uda jarang nongol di antm 
Hari ini nongol..makanya naik  ",Positif
87,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
antm sudah masuk msci harga sudah dijaga. ga akan sevolatile dulu lagi",Positif
88,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
Saya beli arto karna digoreng...berharap digoreng terus dan terus...dan terus.. ",Positif
89,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
kmaren"" jg beli antm pada bilangnya sama karna masa depan ",Positif
90,"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
kalau ditarik ke belakang chartnya 3-5tahun lalu, anda pasti ngerti kok kenapa ini saham dari 100perak jadi 5000 dibanting ke 100 lagi dengan sangat cepat
Membalas : Setuju, saingan nya BBCA
dari segi mana om saingan bbca? harga saham? atau bisnisnya?",Positif
91,"Coba digital bank pake PEG om, PE/EPS growth.
Membalas : Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg do
Siap om   ",Positif
92,"Membalas : Waktu 180 ga dilirik om  
Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg down jd udh lumyn pas harga 240",Positif
93,"Saya mantau aja pak,all the best hehehe. Saya jg punya pandangan oke kok ke arto.",Positif
94,"Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. Ini blueprintnya sudah jelas dan eksekusi Right Issuenya sempurna. Sayang kalau terlewatkan. 
Di dalamnya ada North Star pula. Banyak boxes ticked!  ",Positif
95,"Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekitar 16x. Sudah masuk kategori Bank Buku III.
Terus bakal right issue terus sampai equitynya capai 30T masuk Bank Buku IV. Perkiraan 2022 lah tercapai.",Positif
96,"haka bvic MG mulai masuk, AVG 177. masih harus di kerek naik ke 180-185",Positif
97,"Waduh piye toh masih AVG, yg baru msk pagi aja ini udah cuan salah kamar ya",Positif
98,"Membalas : Hehehe ya udah hari ini ada buto ijo jd cerah smg yg nyangkut kmrn bisa keluar
Saya avg down terus pak biar gak ketinggian",Positif
99,Pas banget ya ANTM dikerek ke atas hari ini karena ada presscon battery holding. Begitulah cara market maker bekerja,Positif
100,Klo cent sampai april kyknya prospektus keluar tp harga udsh diatas 300     ,Positif
101,"Membalas : Ga ngedoain kok pak, cuma nawar ala ibu ibu aja   
Mudah2an dibalik sma malaikat jadi Ara gak usah byk2 5x aja   ",Positif
102,Antm TP selanjutnya 2800,Positif
103,"Membalas : Suhu master Aho adalah spesialist CENT pak suhu master intel khong guan @Rovipr
sampai2 semua saham yg ijo dilihatnya ticker CENT  

peace ya, salam cuan",Positif
104,"Membalas : Yang nyambung direply itu camp pak   
Kirain orgnya nanys kenaps Cent nsik    maklum efforia",Positif
105,"Membalas : ANTM TINS INCO MCAS HAKA
Ya haka congrats udh cuan ya",Positif
106,"Membalas : kenapa naik tinggi om? ada isu apa?
Dia itu dulu isunya mau ikut distribusi salah satu vaksin kalo gk salah, makanya naik kenceng",Positif
107,"Membalas : kenapa naik tinggi om? ada isu apa?
Waduh gak tau bakal Ri tp jadwsl brlum keluar klo prediksi sih bisa diatas 300  
Membalas : kenapa naik tinggi om? ada isu apa?
Catet hr ini klo tutupnaik bisa diatas 7 % senin selasa siap2 Ara    ",Positif
108,"Membalas : AK nyerok Cent
Prospek",Positif
109,AK nyerok Cent,Positif
110,"Membalas : Photo
Ini yg saham salah satu diprediksi pak HS akan nsik tinggi   ",Positif
111,"Membalas : @RuiAuxilia Mb klo BBYB itu cumdate nya kapan to...kq di rti ma stockbit beda
Di rti belom update kayaknya, cumdate bbyb uda tgl 24 kemaren",Positif
112,"Membalas : merasa berdosa jual d 3400 dulu
Waduh beruntung d ong hr ini udh terbg mash 2300 an mau pakai jet pribadi ke 3400   
Membalas : bahagia nyerok smalem sore om wkwk
Nyeroknya hrs jelas dulu    ",Positif
113,"Mana suara Brms    
Membalas : banyak yg bahagia yah kalau antam naik
Ia byk yg nyangkut",Positif
114,"Membalas : https://www.tradingview.com/x/4w4bOHjN/ Biar teknikal yg mnjawab hha
mantepp,, dah jebol resist kah ?? otw 2600 kah ???",Positif
115,PKPK ara gak nih,Positif
116,Antm nyangkut 8% terbayar lunas dgn hati yg tenang..gak minus lagi....trmksh pak sopir,Positif
117,ANTM :rocket:,Positif
118,antm kalo bertahan di atas 2350 sesi satu strong,Positif
119,harga nikel timah biasa aja..antm tins ijo tebel  ,Positif
120,"Membalas : Target 300 hbs itu gby my love   
36/264 = 13,6% cuan kotozz kotoozz!",Positif
121,"Membalas : Naaah kalau bapak Aho ini spesialist CENT, mohon banyak banyak kasih masukan tentang CENT yaa
Target 300 hbs itu gby my love   
",Positif
122,IHSG semoga menuju 6200 dan bertahan disana,Positif
123,MIKA masih bisa bikin higher high gak ya? Masih sangkut d 2900,Positif
124,"Membalas : ARA kan CENT :rocket:
Udah 2x tik tok mas   ",Positif
125,ARA kan CENT :rocket:,Positif
126,"bvic mantap. yok masuk, sblm ketnggalan",Positif
127,"Membalas : bisa juga 6-7-8-9  
Tulisan suhu master Billy     agak mencurigakan kalau ada tulisan wiim nya spti orang kalau baru pertama kali ketemu cici guru @RuiAuxilia grogi salfok    agro aja agro ajaaa skrg 1055",Positif
128,"Membalas : jgn disebut2    nanti rame, khusus orang sabar wkwkw
koh Billy muncul di komen WIIM ini udah menjadi selling point tertentu. nilai Plus  ",Positif
129,CENT nya kek nya juga potensi HTF?,Positif
130,"Membalas : WIIM nya masih ada 
@wealth88 nih kak ada calon HTF lagi kalau tertarik    tp kalau mau entry saran saya ya memang nunggu hTFnya confirm dulu",Positif
131,ARA kan BVIC,Positif
132,"Membalas : it's ok lah gak HTF juga. asal base nya kuat, apapun bisa terjadi kyk waktu itu IMAS gagal confirm pattern, tpi volume masih
Iya, ga HTF bukan berarti ga naik ... saya komen kak @wealth88 karena dari kemarin semangat sekali biar HTF di DMMX   ",Positif
133,Haka WMUU,Positif
134,"Membalas : Photo
Tapi kayanya kudu ARA ini biar jebol resisten 496nya biar HTF kak  ",Positif
135,"Membalas : Volumenya juga mesti besar bukannya pak ?
Nope, tudei masih masa konsolidasi volume harus rendah, senin baru meroket dengan volume besar, saya pasang buy 408 all in ga dapat  nih stress saya  ",Positif
136,"Membalas : pak, biarkan saja senyap  
Oh iya ya    woke deh agro aja ayok ayok agro skrg 1060 feeling saya hari ini agro closing di 1030 
1030-1134-1208-1290 siapa mau serokk 1060 1060 ayok ayok",Positif
137,Same uda 450,Positif
138,antm dorong ihsg  ,Positif
139,Mantoelll nih same,Positif
140,"Membalas : Jd ingat film Capt Phillips :ship:
Kaya insight sahamnya bakal naik ya pak",Positif
141,"Membalas : Should be wise at the current condition of the market? I mean Mark meenermini just wrote a single notice that it may be only a s
cek lagi twitternya minervini bu... dia bilang dia stupid, sering CL tapi habis itu sahamnya terbang. sekelas minervini yang gain portonya sudah 57% YTD aja ngalamin kok  ",Positif
142,"Membalas : berita 2 hari lalu 
Ketika berita positif dikeluarkan untuk salah satu emiten, itu pertanda akumulasi sudah cukup dan insider siap TP. Ngundang retail buat beli",Positif
143,"Reminder aja ya, hari ini ijo bukan berarti ihsg meroket to the moon, hari ini ijo berarti mgkn senin merah lagi   supaya hati hati aja jgn terlalu euforia   bagaimana pendapat pak @JuthaBram  ",Positif
144,"Membalas : Photo
Msh ada peluang ijo kok om, coba backtest ke crash 2008. 2 hari yg lalu yaitu kemaren dan lusa lalu pas ultah bottom IHSG, candlenya sama persis kyk 2009 pas ultah bottom thn 2008. Klo history repeat itself, besok berarti ijo.",Positif
145,"Membalas : [BREAKING] BBRI memutuskan untuk membagikan Rp12 triliun atau sekitar 65% dari laba bersih tahun 2020. Dengan demikian, dividen
Di newsnya bukannya 160an ya?",Positif
146,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Binomo illegal",Negatif
147,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Traffic data di chart bisa dimainkan pak
 kalo profit 80% trader, 20% buat pihak sana, loss ya 100% trader 
Blm trmasuk permainan slippage dan requote",Negatif
148,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Kalo mau cepet miskin bisa main itu om  ",Negatif
149,"Ok mksh..
Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart,  sistem deposit / withdraw dan web nya. Kabarnya sering di blokir situsnya sama kominfo. Mksh..",Negatif
150,"Membalas : Fix besok merah dullu ihsg kak
Bukan di jkt, klo di jkt kemungkinan besar merah...",Negatif
151,"Membalas : https://amp.kompas.com/nasional/read/2021/03/28/10385551/ledakan-di-depan-gereja-katedral-makassar-polisi-sebut-bom-bunuh-diri
Fix besok merah dullu ihsg kak",Negatif
152,"Membalas : Intinya sih risiko loss = risiko cuan Om. Sebelum siap cuan 2%, maka harus siap loss 2% juga
cari yg RPTnya minim 2 kali dong om, cuan dikit amat hehe
",Negatif
153,"Membalas : Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja.
Kayaknya Ngeri klo 2%dari total om..loss 5x aja udah down banget tuh mental..apalagi kata buku itu loss 10x dulu sebelum bener",Negatif
154,"Membalas : Mohon pendapat dari teman2 yang sudah senior di sini. Pertanyaan dari pemula. Mengenai saham DOID. Apa perlu diavg down ketik
Tergantung plannya bapak, kalo uda kecemplung porsi gede dan jebol support bagusan SL tapi kalo masih dikit bisa avg down di support selanjutnya",Negatif
155,"Membalas : Iya betul pak. Nah itu tadi pak Jimmy bilang kalau salah satu kunci trading itu  hindari keramaian . Tapi kenapa ada jg yg bilan
Saya bukan Suhu ya Pak. Masih belajar juga, sedikit di atas niubi lah.

Mungkin pake contoh aja ya yang gampang, ANTM. 

Sampai Kamis minggu lalu. Pasar masih pesimis dengan ANTM. Ada yang bilang harga bandar di 1700. Ada yang bilang mau ke 1000, dsb. Keramaian jelas berada di sisi pesimis.

Nah Jumat lalu, secara chart terlihat kalo tutupan Kamis bisa jadi titik reversal. 

Dan kalo yang mengamati aliran akumulasi, terlihat big player konsisten masuk bertahap di 4-5 hari terakhir.

Dan kita tahu akhir bulan ada rencana pengumuman IBH, tapi kita ga tau akhir bulannya kapan, bisa tanggal 25, 26, dsb sampai tgl 30.

Disini terlihat, ""keramaian"" berada di sisi ""pesimis"", sementara market sudah menunjukkan ada ""pembalikan arah"".

Jadi kita mau tes ikut ""market"" atau ikut ""keramaian""?  

Semoga bisa dipahami ya. Memang tipis bedanya, tapi ya itulah kurang lebih benang merahnya. Mirip kaya liat divergen trend. Kadang selip mata  ",Negatif
156,"Ikut rules nya pak Billy berarti antm magnetnya ke bawah?
Ini adalah foto",Negatif
157,"Membalas : betul, mau gimanapun retail tetaplah retail. selalu ada istilah cuan jual ini yg bikin retail ga akan pernah bisa ngalahin banda
Memang betul hedgefundnya rugi gede2an. Namum selalu dalam peperangan pasti banyak retail kena sembelih   ",Negatif
158,"Membalas : Photo
Iy senin tkt jebol krn rilis lap keu kelek",Negatif
159,"Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Lebih tepat sebenarnya konsep avg down adalah beli mencicil di satu emiten yg sama. Setelah selesai (mencicil sistem piramida, cicil 2,3,4 kali, dengan alokasi misal 20% total porto) tapi harganya lalu tetap turun 6% dari avg, cutloss. Kalau yg pembelian sekaligus (juga alokasi 20% porto) dan harganya turun juga 6% cutloss. Jadi konsepnya tetap disiplin cutloss saja dari alokasi 20% porto kalau harga turun 6%. Incar lagi saham yg sama setelah trend nya jadi bullish atau cari saham lain.  ",Negatif
160,"Membalas : Mungkin WB belom pernah menikmati cuan dari scalping Karena buat apa dia sudah kaya raya, hehe
Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia",Negatif
161,"Makanya sy koq merasa, banyak teman2 sy yg masih baru di market belum sadar kalo day trading itu zero sum game. 

Jadi kalo dia boncos, pasti ada org lain yg cuan. 

Beda kalo dia beli saham hari ini melihat prospek bagus , akan bagi deviden gede. Eh ternyata 2 minggu kemudian, gak bagi deviden (spt kasus BBTN), wajar kalo dia out dr saham itu krn kebijakan manajemen tdk sesuai yg di harapkan. 

Tapi kalo day trading, dia masuk pagi, sore dia jual... (krn apa dia jual), pasti krn udh cuan kecil (TP) atau krn rugi kecil (CL).",Negatif
162,"Tapi yang arb masih 7% aja sudah banyak yang sensi, ga kebayang kalo arb sudah 25% lagi akan seperti apa   ",Negatif
163,"Membalas : Tim nawar harga ala emak emak saat itu akan senang hu  
Beli di ara lalu dibanting ke arb pake margin pula.. Duh saya pernah bgt dlu kaya gini. Haka saham ga jelas di running trade, selesai market senggol bacok   ",Negatif
164,"Kl balil arb normal, biasanya masnya pasang ts brp persen mas?",Negatif
165,Ideal nya emang balik lg ke arb normal  .. Tp ya... Siap2 aja yg ga biasa arb 6% goyang nya mantap,Negatif
166,"Membalas : Ci Rui maksdnya ARB simetris apa ya? Noted tadi bahas tapi tidak mengerti mksdnya? 
ARB simetris itu turun 25%",Negatif
167,"Pak @JuthaBram 

Berarti.  Ini ihsg sdh swing low ya?

Nda turun ke 5800 atau 6000 lg?


Senin pasti org2 pada haka kyk nya..

Apa kita sdh. Mulai masuk fase Party sampe juni?",Negatif
