,Normal,Status,token
14,persis pegang berita naik naik tinggi cuan lumayan saudara sampa pullback break ath naik kerja laku kerja positif,Positif,"['persis', 'pegang', 'berita', 'naik', 'naik', 'tinggi', 'cuan', 'lumayan', 'saudara', 'sampa', 'pullback', 'break', 'ath', 'naik', 'kerja', 'laku', 'kerja', 'positif']"
15,potensi ssp,Positif,"['potensi', 'ssp']"
16,dividen cari duit kupon obligasi bayar persis pegang berita naik naik tinggi cuan lumayan saudara target tinggal amblas dividen kabur bagus ngaruh sorry pribadi beda analisa kelar,Positif,"['dividen', 'cari', 'duit', 'kupon', 'obligasi', 'bayar', 'persis', 'pegang', 'berita', 'naik', 'naik', 'tinggi', 'cuan', 'lumayan', 'saudara', 'target', 'tinggal', 'amblas', 'dividen', 'kabur', 'bagus', 'ngaruh', 'sorry', 'pribadi', 'beda', 'analisa', 'kelar']"
17,barusan dirut tarik orang investor bijak bagus hubung orang nurut untung naik tp dividen,Positif,"['barusan', 'dirut', 'tarik', 'orang', 'investor', 'bijak', 'bagus', 'hubung', 'orang', 'nurut', 'untung', 'naik', 'tp', 'dividen']"
18,potensi bikin hns,Positif,"['potensi', 'bikin', 'hns']"
19,terimakasih insightnya garis ungu batas cl entry garis ungu sinyal buy candle,Positif,"['terimakasih', 'insightnya', 'garis', 'ungu', 'batas', 'cl', 'entry', 'garis', 'ungu', 'sinyal', 'buy', 'candle']"
20,break volume tinggi masuk optimal entry spekulasi cicil maw posisi market turun beda cari pivot entry tuju uptrend flat base cnh atao rounding,Positif,"['break', 'volume', 'tinggi', 'masuk', 'optimal', 'entry', 'spekulasi', 'cicil', 'maw', 'posisi', 'market', 'turun', 'beda', 'cari', 'pivot', 'entry', 'tuju', 'uptrend', 'flat', 'base', 'cnh', 'atao', 'rounding']"
21,hasil cuan balikin usaha,Positif,"['hasil', 'cuan', 'balikin', 'usaha']"
22,pamit belanja,Positif,"['pamit', 'belanja']"
23,ara wajib pantau berita media,Positif,"['ara', 'wajib', 'pantau', 'berita', 'media']"
24,berkat semenjak sharing alam untung cuan salah take profit praktek modal grow,Positif,"['berkat', 'semenjak', 'sharing', 'alam', 'untung', 'cuan', 'salah', 'take', 'profit', 'praktek', 'modal', 'grow']"
25,mantap set stoploss cutloss profit,Positif,"['mantap', 'set', 'stoploss', 'cutloss', 'profit']"
26,beli analisa,Positif,"['beli', 'analisa']"
27,habis cl cari ganti posisi triangle bo average down naik akumulasi asing kadang kedistract akumulasi asing versus support resis,Positif,"['habis', 'cl', 'cari', 'ganti', 'posisi', 'triangle', 'bo', 'average', 'down', 'naik', 'akumulasi', 'asing', 'kadang', 'kedistract', 'akumulasi', 'asing', 'versus', 'support', 'resis']"
28,ragu rakhmad tinggi uptrend topik average down average ragu average down naik duluan,Positif,"['ragu', 'rakhmad', 'tinggi', 'uptrend', 'topik', 'average', 'down', 'average', 'ragu', 'average', 'down', 'naik', 'duluan']"
29,case lanjur mantap turun bawah cl beli average up bottom bentuk hammer hijau volume bagus masuk,Positif,"['case', 'lanjur', 'mantap', 'turun', 'bawah', 'cl', 'beli', 'average', 'up', 'bottom', 'bentuk', 'hammer', 'hijau', 'volume', 'bagus', 'masuk']"
30,uptrend,Positif,['uptrend']
31,average segitu closing average down mending tunggu konfirmasi naik average up,Positif,"['average', 'segitu', 'closing', 'average', 'down', 'mending', 'tunggu', 'konfirmasi', 'naik', 'average', 'up']"
32,average down sd,Positif,"['average', 'down', 'sd']"
33,average down capai toleransi cutloss oke koreksi ri koreksi average down oke turun reversal trend,Positif,"['average', 'down', 'capai', 'toleransi', 'cutloss', 'oke', 'koreksi', 'ri', 'koreksi', 'average', 'down', 'oke', 'turun', 'reversal', 'trend']"
34,roket,Positif,['roket']
35,ayo mumpung libur wisata taman fresh,Positif,"['ayo', 'mumpung', 'libur', 'wisata', 'taman', 'fresh']"
36,alam kaca alam pribadi rule nomor trading pasang stop loss tuju pasang stop loss posisi upgrade to trailing stop take profit take profit stop loss lihat account grow atao,Positif,"['alam', 'kaca', 'alam', 'pribadi', 'rule', 'nomor', 'trading', 'pasang', 'stop', 'loss', 'tuju', 'pasang', 'stop', 'loss', 'posisi', 'upgrade', 'to', 'trailing', 'stop', 'take', 'profit', 'take', 'profit', 'stop', 'loss', 'lihat', 'account', 'grow', 'atao']"
37,lirik,Positif,['lirik']
38,covid potensi loss habis profit angkat jempol,Positif,"['covid', 'potensi', 'loss', 'habis', 'profit', 'angkat', 'jempol']"
39,pantau lihat bagus tunggu konfirmasi koreksi salah masuk bentuk mjolnir hijau volume bagus thank you remindernya eko bawono wujud cup cantik,Positif,"['pantau', 'lihat', 'bagus', 'tunggu', 'konfirmasi', 'koreksi', 'salah', 'masuk', 'bentuk', 'mjolnir', 'hijau', 'volume', 'bagus', 'thank', 'you', 'remindernya', 'eko', 'bawono', 'wujud', 'cup', 'cantik']"
40,beli buy tutup angka lancar,Positif,"['beli', 'buy', 'tutup', 'angka', 'lancar']"
41,pantau lihat bagus tunggu konfirmasi koreksi salah,Positif,"['pantau', 'lihat', 'bagus', 'tunggu', 'konfirmasi', 'koreksi', 'salah']"
42,ijin analisa buy pasuk arena tahan bawah fibonacci atao area sell signal eko naik atao turun manya ma colek gas tunggu area ma,Positif,"['ijin', 'analisa', 'buy', 'pasuk', 'arena', 'tahan', 'bawah', 'fibonacci', 'atao', 'area', 'sell', 'signal', 'eko', 'naik', 'atao', 'turun', 'manya', 'ma', 'colek', 'gas', 'tunggu', 'area', 'ma']"
43,lihat history garis hitam potensi break weakly cantik candle,Positif,"['lihat', 'history', 'garis', 'hitam', 'potensi', 'break', 'weakly', 'cantik', 'candle']"
44,naik volume buy on weakness jalan resistnya by body,Positif,"['naik', 'volume', 'buy', 'on', 'weakness', 'jalan', 'resistnya', 'by', 'body']"
45,tes garis support hijau hasil tahan support cicil beli break garis hitam average up,Positif,"['tes', 'garis', 'support', 'hijau', 'hasil', 'tahan', 'support', 'cicil', 'beli', 'break', 'garis', 'hitam', 'average', 'up']"
46,jebol resistance tuju ath,Positif,"['jebol', 'resistance', 'tuju', 'ath']"
47,terimakasih view indeks moga cuan njedog,Positif,"['terimakasih', 'view', 'indeks', 'moga', 'cuan', 'njedog']"
48,ara jutha,Positif,"['ara', 'jutha']"
49,mute asik dengar masak kode,Positif,"['mute', 'asik', 'dengar', 'masak', 'kode']"
50,goreng,Positif,['goreng']
51,haka muka beser haka,Positif,"['haka', 'muka', 'beser', 'haka']"
52,haka haka muka beser,Positif,"['haka', 'haka', 'muka', 'beser']"
53,swing low confirmed moga last chance to buy before start to tes moga yiha musim tanam,Positif,"['swing', 'low', 'confirmed', 'moga', 'last', 'chance', 'to', 'buy', 'before', 'start', 'to', 'tes', 'moga', 'yiha', 'musim', 'tanam']"
54,resmi terima kasih bantu forecast swing low confirmed moga last chance to buy before start to tes,Positif,"['resmi', 'terima', 'kasih', 'bantu', 'forecast', 'swing', 'low', 'confirmed', 'moga', 'last', 'chance', 'to', 'buy', 'before', 'start', 'to', 'tes']"
55,cakep,Positif,['cakep']
56,tp ritel lumayan serok cuan,Positif,"['tp', 'ritel', 'lumayan', 'serok', 'cuan']"
57,htf konfirmasi naik tinggi volume tinggi,Positif,"['htf', 'konfirmasi', 'naik', 'tinggi', 'volume', 'tinggi']"
58,hijau gin ramai gilir merah diam,Positif,"['hijau', 'gin', 'ramai', 'gilir', 'merah', 'diam']"
59,gerak,Positif,['gerak']
60,lamar jabat level management msop esop mesop employee,Positif,"['lamar', 'jabat', 'level', 'management', 'msop', 'esop', 'mesop', 'employee']"
61,sadar pasang gtc sadar heran tembus yes ihns shoulder bikin base,Positif,"['sadar', 'pasang', 'gtc', 'sadar', 'heran', 'tembus', 'yes', 'ihns', 'shoulder', 'bikin', 'base']"
62,abaru gerah sadar pasang gtc sadar heran tembus ihns,Positif,"['abaru', 'gerah', 'sadar', 'pasang', 'gtc', 'sadar', 'heran', 'tembus', 'ihns']"
63,roket roket roket roket roket,Positif,"['roket', 'roket', 'roket', 'roket', 'roket']"
64,yeay tembus,Positif,"['yeay', 'tembus']"
65,yeay tembus,Positif,"['yeay', 'tembus']"
66,salah tumpah piring sold barusan kena,Positif,"['salah', 'tumpah', 'piring', 'sold', 'barusan', 'kena']"
67,is back,Positif,"['is', 'back']"
68,kenyang airplane airplane airplane airplane,Positif,"['kenyang', 'airplane', 'airplane', 'airplane', 'airplane']"
69,ampun rem blong moga ara kasi sangkut untung buru tp,Positif,"['ampun', 'rem', 'blong', 'moga', 'ara', 'kasi', 'sangkut', 'untung', 'buru', 'tp']"
70,ampun rem blong,Positif,"['ampun', 'rem', 'blong']"
71,sadis related pat wal police car private equity gitu kerja beli usaha babak bur cantik jual investasi sangkut akuisisi buma salah,Positif,"['sadis', 'related', 'pat', 'wal', 'police', 'car', 'private', 'equity', 'gitu', 'kerja', 'beli', 'usaha', 'babak', 'bur', 'cantik', 'jual', 'investasi', 'sangkut', 'akuisisi', 'buma', 'salah']"
72,banking rally sip tahan,Positif,"['banking', 'rally', 'sip', 'tahan']"
73,serok arb roket roket,Positif,"['serok', 'arb', 'roket', 'roket']"
74,cerita kd go private durian runtuh northstar untung habis placement michelin northstar aktif,Positif,"['cerita', 'kd', 'go', 'private', 'durian', 'runtuh', 'northstar', 'untung', 'habis', 'placement', 'michelin', 'northstar', 'aktif']"
75,lihat produk go private minim usaha go private pandemi gin cerita kaya jaga ketat bocor halus,Positif,"['lihat', 'produk', 'go', 'private', 'minim', 'usaha', 'go', 'private', 'pandemi', 'gin', 'cerita', 'kaya', 'jaga', 'ketat', 'bocor', 'halus']"
76,dilebihin atao,Positif,"['dilebihin', 'atao']"
77,kali lipat beli xixixi,Positif,"['kali', 'lipat', 'beli', 'xixixi']"
78,enak beli rp perak pasar xx cuan mesop,Positif,"['enak', 'beli', 'rp', 'perak', 'pasar', 'xx', 'cuan', 'mesop']"
79,lumayan goreng lipat lipat,Positif,"['lumayan', 'goreng', 'lipat', 'lipat']"
80,enak beli rp perak pasar xx cuan,Positif,"['enak', 'beli', 'rp', 'perak', 'pasar', 'xx', 'cuan']"
81,asing beli ri pintar beli disc pasar smart karyawan kasih beli disc pasar cuan dokumen lock up,Positif,"['asing', 'beli', 'ri', 'pintar', 'beli', 'disc', 'pasar', 'smart', 'karyawan', 'kasih', 'beli', 'disc', 'pasar', 'cuan', 'dokumen', 'lock', 'up']"
82,asing beli ri pintar beli disc pasar smart,Positif,"['asing', 'beli', 'ri', 'pintar', 'beli', 'disc', 'pasar', 'smart']"
83,beli lumayan goreng lipat,Positif,"['beli', 'lumayan', 'goreng', 'lipat']"
84,dari tadi naik koreksi bentar bawa turun lumayan,Positif,"['dari', 'tadi', 'naik', 'koreksi', 'bentar', 'bawa', 'turun', 'lumayan']"
85,segi saing atao bisnis bisnis akuisisi customer indonesia,Positif,"['segi', 'saing', 'atao', 'bisnis', 'bisnis', 'akuisisi', 'customer', 'indonesia']"
86,takut moga jarang nongol nongol naik,Positif,"['takut', 'moga', 'jarang', 'nongol', 'nongol', 'naik']"
87,beli masuk msci jaga sevolatile,Positif,"['beli', 'masuk', 'msci', 'jaga', 'sevolatile']"
88,beli pbv update equity right issue pbv kit beli goreng harap goreng,Positif,"['beli', 'pbv', 'update', 'equity', 'right', 'issue', 'pbv', 'kit', 'beli', 'goreng', 'harap', 'goreng']"
89,beli pbv update equity right issue pbv kit beli,Positif,"['beli', 'pbv', 'update', 'equity', 'right', 'issue', 'pbv', 'kit', 'beli']"
90,jarang emiten growth cepat all leading to momen ipo tarik chartnya erti perak banting cepat tuju saing segi saing atao bisnis,Positif,"['jarang', 'emiten', 'growth', 'cepat', 'all', 'leading', 'to', 'momen', 'ipo', 'tarik', 'chartnya', 'erti', 'perak', 'banting', 'cepat', 'tuju', 'saing', 'segi', 'saing', 'atao', 'bisnis']"
91,coba digital pakai peg pe eps growth telat orang naik beli jual tp fomo tp average do,Positif,"['coba', 'digital', 'pakai', 'peg', 'pe', 'eps', 'growth', 'telat', 'orang', 'naik', 'beli', 'jual', 'tp', 'fomo', 'tp', 'average', 'do']"
92,lirik telat orang naik beli jual tp fomo tp average down lumayan,Positif,"['lirik', 'telat', 'orang', 'naik', 'beli', 'jual', 'tp', 'fomo', 'tp', 'average', 'down', 'lumayan']"
93,pantau all pandang oke,Positif,"['pantau', 'all', 'pandang', 'oke']"
94,jarang emiten growth cepat all leading to momen ipo blueprintnya eksekusi right issuenya sempurna sayang north boxes ticked,Positif,"['jarang', 'emiten', 'growth', 'cepat', 'all', 'leading', 'to', 'momen', 'ipo', 'blueprintnya', 'eksekusi', 'right', 'issuenya', 'sempurna', 'sayang', 'north', 'boxes', 'ticked']"
95,beli pbv update equity right issue pbv masuk kategori buku iii right issue equitynya capai masuk buku iv capai,Positif,"['beli', 'pbv', 'update', 'equity', 'right', 'issue', 'pbv', 'masuk', 'kategori', 'buku', 'iii', 'right', 'issue', 'equitynya', 'capai', 'masuk', 'buku', 'iv', 'capai']"
96,haka moga masuk average kerek naik,Positif,"['haka', 'moga', 'masuk', 'average', 'kerek', 'naik']"
97,aduh average masuk cuan salah,Positif,"['aduh', 'average', 'masuk', 'cuan', 'salah']"
98,buto hijau cerah moga sangkut average down biar tinggi,Positif,"['buto', 'hijau', 'cerah', 'moga', 'sangkut', 'average', 'down', 'biar', 'tinggi']"
99,kerek presscon battery holding market maker kerja,Positif,"['kerek', 'presscon', 'battery', 'holding', 'market', 'maker', 'kerja']"
100,prospektus tp,Positif,"['prospektus', 'tp']"
101,doa tawar mudah malaikat ara,Positif,"['doa', 'tawar', 'mudah', 'malaikat', 'ara']"
102,tp,Positif,['tp']
103,master spesialist master intel khong guan hijau lihat ticker peace salam cuan,Positif,"['master', 'spesialist', 'master', 'intel', 'khong', 'guan', 'hijau', 'lihat', 'ticker', 'peace', 'salam', 'cuan']"
104,nyambung direply orang naik maklum efforia,Positif,"['nyambung', 'direply', 'orang', 'naik', 'maklum', 'efforia']"
105,haka haka selamat cuan,Positif,"['haka', 'haka', 'selamat', 'cuan']"
106,naik tinggi isu isu distribusi salah vaksin salah naik kencang,Positif,"['naik', 'tinggi', 'isu', 'isu', 'distribusi', 'salah', 'vaksin', 'salah', 'naik', 'kencang']"
107,naik tinggi isu aduh ri tp jadwal prediksi naik tinggi isu catat tutupnaik ara,Positif,"['naik', 'tinggi', 'isu', 'aduh', 'ri', 'tp', 'jadwal', 'prediksi', 'naik', 'tinggi', 'isu', 'catat', 'tutupnaik', 'ara']"
108,serok prospek,Positif,"['serok', 'prospek']"
109,serok,Positif,['serok']
110,salah prediksi hs naik tinggi,Positif,"['salah', 'prediksi', 'hs', 'naik', 'tinggi']"
111,cumdate to rti ma stockbit beda rti bom update kayak cumdate tanggal,Positif,"['cumdate', 'to', 'rti', 'ma', 'stockbit', 'beda', 'rti', 'bom', 'update', 'kayak', 'cumdate', 'tanggal']"
112,dosa jual aduh untung ong terbang pakai jet pribadi bahagia serok serok,Positif,"['dosa', 'jual', 'aduh', 'untung', 'ong', 'terbang', 'pakai', 'jet', 'pribadi', 'bahagia', 'serok', 'serok']"
113,suara bahagia naik sangkut,Positif,"['suara', 'bahagia', 'naik', 'sangkut']"
114,biar teknikal mantap jebol resist tuju,Positif,"['biar', 'teknikal', 'mantap', 'jebol', 'resist', 'tuju']"
115,ara,Positif,['ara']
116,sangkut bayar lunas hati tenang minus terima kasih sopir,Positif,"['sangkut', 'bayar', 'lunas', 'hati', 'tenang', 'minus', 'terima', 'kasih', 'sopir']"
117,roket,Positif,['roket']
118,tahan sesi strong,Positif,"['tahan', 'sesi', 'strong']"
119,nikel timah hijau tebal,Positif,"['nikel', 'timah', 'hijau', 'tebal']"
120,target habis gby love cuan kotos kotos,Positif,"['target', 'habis', 'gby', 'love', 'cuan', 'kotos', 'kotos']"
121,spesialist mohon kasih masuk target habis gby love,Positif,"['spesialist', 'mohon', 'kasih', 'masuk', 'target', 'habis', 'gby', 'love']"
122,moga tuju tahan,Positif,"['moga', 'tuju', 'tahan']"
123,bikin higher high sangkut,Positif,"['bikin', 'higher', 'high', 'sangkut']"
124,ara roket tik tok,Positif,"['ara', 'roket', 'tik', 'tok']"
125,ara roket,Positif,"['ara', 'roket']"
126,mantap ayo masuk tinggal,Positif,"['mantap', 'ayo', 'masuk', 'tinggal']"
127,tulis master curiga tulis orang kali ketemu cici grogi salfok aja,Positif,"['tulis', 'master', 'curiga', 'tulis', 'orang', 'kali', 'ketemu', 'cici', 'grogi', 'salfok', 'aja']"
128,ramai khusus orang sabar muncul komentar selling point nilai plus,Positif,"['ramai', 'khusus', 'orang', 'sabar', 'muncul', 'komentar', 'selling', 'point', 'nilai', 'plus']"
129,potensi htf,Positif,"['potensi', 'htf']"
130,calon htf tarik tp entry saran tunggu htfnya confirm,Positif,"['calon', 'htf', 'tarik', 'tp', 'entry', 'saran', 'tunggu', 'htfnya', 'confirm']"
131,ara,Positif,['ara']
132,oke htf base kuat gagal confirm pattern volume htf naik komentar semangat biar htf,Positif,"['oke', 'htf', 'base', 'kuat', 'gagal', 'confirm', 'pattern', 'volume', 'htf', 'naik', 'komentar', 'semangat', 'biar', 'htf']"
133,haka,Positif,['haka']
134,ara biar jebol resisten biar htf,Positif,"['ara', 'biar', 'jebol', 'resisten', 'biar', 'htf']"
135,volume mesti today konsolidasi volume rendah roket volume pasang buy all in stress,Positif,"['volume', 'mesti', 'today', 'konsolidasi', 'volume', 'rendah', 'roket', 'volume', 'pasang', 'buy', 'all', 'in', 'stress']"
136,biar senyap oke ayo ayo feeling closing serok ayo ayo,Positif,"['biar', 'senyap', 'oke', 'ayo', 'ayo', 'feeling', 'closing', 'serok', 'ayo', 'ayo']"
137,dorong,Positif,['dorong']
138,mantap,Positif,['mantap']
139,capt phillips kaya insight naik,Positif,"['capt', 'phillips', 'kaya', 'insight', 'naik']"
140,should be wise at current condition of market mean meenermini just wrote single notice that may be only cek twitternya minervini stupid cl habis terbang kelas minervini gain porto ytd alami,Positif,"['should', 'be', 'wise', 'at', 'current', 'condition', 'of', 'market', 'mean', 'meenermini', 'just', 'wrote', 'single', 'notice', 'that', 'may', 'be', 'only', 'cek', 'twitternya', 'minervini', 'stupid', 'cl', 'habis', 'terbang', 'kelas', 'minervini', 'gain', 'porto', 'ytd', 'alami']"
141,berita berita positif salah emiten tanda akumulasi insider tp undang ritel beli,Positif,"['berita', 'berita', 'positif', 'salah', 'emiten', 'tanda', 'akumulasi', 'insider', 'tp', 'undang', 'ritel', 'beli']"
142,reminder hijau roket to moon hijau merah hati hati euforia,Positif,"['reminder', 'hijau', 'roket', 'to', 'moon', 'hijau', 'merah', 'hati', 'hati', 'euforia']"
143,peluang hijau coba tes crash lusa ultah bottom candlenya persis ultah bottom tahan history repeat itself hijau,Positif,"['peluang', 'hijau', 'coba', 'tes', 'crash', 'lusa', 'ultah', 'bottom', 'candlenya', 'persis', 'ultah', 'bottom', 'tahan', 'history', 'repeat', 'itself', 'hijau']"
144,breaking putus rp triliun atao laba bersih dividen newsnya,Positif,"['breaking', 'putus', 'rp', 'triliun', 'atao', 'laba', 'bersih', 'dividen', 'newsnya']"
145,binary option neka atao kerja utama chart deposit illegal,Negatif,"['binary', 'option', 'neka', 'atao', 'kerja', 'utama', 'chart', 'deposit', 'illegal']"
146,binary option neka atao kerja utama chart deposit traffic data chart profit trader loss trader masuk slippage requote,Negatif,"['binary', 'option', 'neka', 'atao', 'kerja', 'utama', 'chart', 'deposit', 'traffic', 'data', 'chart', 'profit', 'trader', 'loss', 'trader', 'masuk', 'slippage', 'requote']"
147,binary option neka atao kerja utama chart deposit cepat miskin,Negatif,"['binary', 'option', 'neka', 'atao', 'kerja', 'utama', 'chart', 'deposit', 'cepat', 'miskin']"
148,oke terima kasih binary option neka atao kerja utama chart deposit withdraw web blokir terima kasih,Negatif,"['oke', 'terima', 'kasih', 'binary', 'option', 'neka', 'atao', 'kerja', 'utama', 'chart', 'deposit', 'withdraw', 'web', 'blokir', 'terima', 'kasih']"
149,fix merah merah,Negatif,"['fix', 'merah', 'merah']"
150,fix merah,Negatif,"['fix', 'merah']"
151,inti risiko loss risiko cuan cuan loss cari rapat minim kali cuan,Negatif,"['inti', 'risiko', 'loss', 'risiko', 'cuan', 'cuan', 'loss', 'cari', 'rapat', 'minim', 'kali', 'cuan']"
152,ideal modal trade cuan target modal trade overall modal kayak ngeri total loss down mental buku loss,Negatif,"['ideal', 'modal', 'trade', 'cuan', 'target', 'modal', 'trade', 'overall', 'modal', 'kayak', 'ngeri', 'total', 'loss', 'down', 'mental', 'buku', 'loss']"
153,mohon kena average down ketik gantung cemplung porsi jebol support bagus sl average down support,Negatif,"['mohon', 'kena', 'average', 'down', 'ketik', 'gantung', 'cemplung', 'porsi', 'jebol', 'support', 'bagus', 'sl', 'average', 'down', 'support']"
154,salah kunci trading hindar ramai ajar newbie pakai gampang pasar pesimis bandar ramai sisi pesimis chart lihat tutup titik reversal alir akumulasi lihat big player konsisten masuk tahap rencana ibh tanggal tanggal lihat ramai sisi pesimis market arah tes market atao ramai moga paham tipis beda kurang benang merah kaya lihat divergen trend kadang selip mata,Negatif,"['salah', 'kunci', 'trading', 'hindar', 'ramai', 'ajar', 'newbie', 'pakai', 'gampang', 'pasar', 'pesimis', 'bandar', 'ramai', 'sisi', 'pesimis', 'chart', 'lihat', 'tutup', 'titik', 'reversal', 'alir', 'akumulasi', 'lihat', 'big', 'player', 'konsisten', 'masuk', 'tahap', 'rencana', 'ibh', 'tanggal', 'tanggal', 'lihat', 'ramai', 'sisi', 'pesimis', 'market', 'arah', 'tes', 'market', 'atao', 'ramai', 'moga', 'paham', 'tipis', 'beda', 'kurang', 'benang', 'merah', 'kaya', 'lihat', 'divergen', 'trend', 'kadang', 'selip', 'mata']"
155,rules magnet bawah,Negatif,"['rules', 'magnet', 'bawah']"
156,gimanapun ritel ritel istilah cuan jual bikin ritel kalah banda hedgefundnya rugi namum peperangan ritel kena sembelih,Negatif,"['gimanapun', 'ritel', 'ritel', 'istilah', 'cuan', 'jual', 'bikin', 'ritel', 'kalah', 'banda', 'hedgefundnya', 'rugi', 'namum', 'peperangan', 'ritel', 'kena', 'sembelih']"
157,takut jebol rilis lap keu ketiak,Negatif,"['takut', 'jebol', 'rilis', 'lap', 'keu', 'ketiak']"
158,pendek average down timbang liquid nali cermat konsep average down beli cicil emiten selesai cicil piramida cicil kali alokasi total porto turun average cutloss beli alokasi porto turun cutloss konsep disiplin cutloss alokasi porto turun incar trend bullish atao cari,Negatif,"['pendek', 'average', 'down', 'timbang', 'liquid', 'nali', 'cermat', 'konsep', 'average', 'down', 'beli', 'cicil', 'emiten', 'selesai', 'cicil', 'piramida', 'cicil', 'kali', 'alokasi', 'total', 'porto', 'turun', 'average', 'cutloss', 'beli', 'alokasi', 'porto', 'turun', 'cutloss', 'konsep', 'disiplin', 'cutloss', 'alokasi', 'porto', 'turun', 'incar', 'trend', 'bullish', 'atao', 'cari']"
159,wb bom nikmat cuan scalping kaya raya lihat jalan wb loss berkshire salah gagal,Negatif,"['wb', 'bom', 'nikmat', 'cuan', 'scalping', 'kaya', 'raya', 'lihat', 'jalan', 'wb', 'loss', 'berkshire', 'salah', 'gagal']"
160,market sadar day trading zero sum game boncos orang cuan beda beli lihat prospek bagus dividen nyata dividen wajar out bijak manajemen sesuai harap day trading masuk jual jual cuan tp atao rugi cl,Negatif,"['market', 'sadar', 'day', 'trading', 'zero', 'sum', 'game', 'boncos', 'orang', 'cuan', 'beda', 'beli', 'lihat', 'prospek', 'bagus', 'dividen', 'nyata', 'dividen', 'wajar', 'out', 'bijak', 'manajemen', 'sesuai', 'harap', 'day', 'trading', 'masuk', 'jual', 'jual', 'cuan', 'tp', 'atao', 'rugi', 'cl']"
161,arb sensi bayang arb,Negatif,"['arb', 'sensi', 'bayang', 'arb']"
162,tim tawar senang beli ara banting arb pakai margin aduh kaya gin haka running trade selesai market senggol bacok,Negatif,"['tim', 'tawar', 'senang', 'beli', 'ara', 'banting', 'arb', 'pakai', 'margin', 'aduh', 'kaya', 'gin', 'haka', 'running', 'trade', 'selesai', 'market', 'senggol', 'bacok']"
